x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-1.502	0.2831	229.18	36.3	78	46	745000	1241000	240	10.25
-1.492	0.2485	214.95	36.3	78	46	745000	1241000	240	10.25
-1.482	0.2085	201.44	36.3	78	46	745000	1241000	240	10.25
-1.472	0.2044	188.62	36.3	78	46	745000	1241000	240	10.25
-1.462	0.169	176.48	36.3	78	46	745000	1241000	240	10.25
-1.452	0.1049	164.99	36.3	78	46	745000	1241000	240	10.25
-1.442	0.1275	154.14	36.3	78	46	745000	1241000	240	10.25
-1.431	0.1211	143.92	36.3	78	46	745000	1241000	240	10.25
-1.421	0.112	134.32	36.3	78	46	745000	1241000	240	10.25
-1.411	0.1056	125.32	36.3	78	46	745000	1241000	240	10.25
-1.401	0.1021	116.92	36.3	78	46	745000	1241000	240	10.25
-1.391	0.0961	109.12	36.3	78	46	745000	1241000	240	10.25
-1.381	0.0912	101.92	36.3	78	46	745000	1241000	240	10.25
-1.371	0.0869	95.32	36.3	78	46	745000	1241000	240	10.25
-1.361	0.0851	89.33	36.3	78	46	745000	1241000	240	10.25
-1.351	0.0823	83.96	36.3	78	46	745000	1241000	240	10.25
-1.341	0.0798	79.23	36.3	78	46	745000	1241000	240	10.25
-1.331	0.0777	75.17	36.3	78	46	745000	1241000	240	10.25
-1.321	0.0752	71.82	36.3	78	46	745000	1241000	240	10.25
-1.31	0.0745	69.21	36.3	78	46	745000	1241000	240	10.25
-1.3	0.072	67.39	36.3	78	46	745000	1241000	240	10.25
-1.29	0.0691	66.38	36.3	78	46	745000	1241000	240	10.25
-1.28	0.0678	66	36.3	78	46	745000	1241000	240	10.25
-1.27	0.067	65.62	36.3	78	46	745000	1241000	240	10.25
-1.26	0.0658	64.51	36.3	78	46	745000	1241000	240	10.25
-1.25	0.0648	63.34	36.3	78	46	745000	1241000	240	10.25
-1.24	0.0628	62.17	36.3	78	46	745000	1241000	240	10.25
-1.23	0.0621	61.05	36.3	78	46	745000	1241000	240	10.25
-1.22	0.0594	60	36.3	78	46	745000	1241000	240	10.25
-1.21	0.0599	59.02	36.3	78	46	745000	1241000	240	10.25
-1.2	0.0586	58.11	36.3	78	46	745000	1241000	240	10.25
-1.19	0.0576	57.25	36.3	78	46	745000	1241000	240	10.25
-1.179	0.0565	56.47	36.3	78	46	745000	1241000	240	10.25
-1.169	0.0556	55.77	36.3	78	46	745000	1241000	240	10.25
-1.159	0.0553	55.15	36.3	78	46	745000	1241000	240	10.25
-1.149	0.053900000000000003	54.61	36.3	78	46	745000	1241000	240	10.25
-1.139	0.0536	54.15	36.3	78	46	745000	1241000	240	10.25
-1.129	0.0531	53.77	36.3	78	46	745000	1241000	240	10.25
-1.119	0.0524	53.46	36.3	78	46	745000	1241000	240	10.25
-1.109	0.0526	53.22	36.3	78	46	745000	1241000	240	10.25
-1.099	0.0523	53.04	36.3	78	46	745000	1241000	240	10.25
-1.089	0.0521	52.93	36.3	78	46	745000	1241000	240	10.25
-1.079	0.0536	52.87	36.3	78	46	745000	1241000	240	10.25
-1.069	0.0533	52.86	36.3	78	46	745000	1241000	240	10.25
-1.058	0.0538	52.89	36.3	78	46	745000	1241000	240	10.25
-1.048	0.053	52.95	36.3	78	46	745000	1241000	240	10.25
-1.038	0.0526	53.05	36.3	78	46	745000	1241000	240	10.25
-1.028	0.0532	53.16	36.3	78	46	745000	1241000	240	10.25
-1.018	0.0547	53.28	36.3	78	46	745000	1241000	240	10.25
-1.008	0.0542	53.41	36.3	78	46	745000	1241000	240	10.25
-0.998	0.0537	53.54	36.3	78	46	745000	1241000	240	10.25
-0.988	0.0543	53.67	36.3	78	46	745000	1241000	240	10.25
-0.978	0.0534	53.77	36.3	78	46	745000	1241000	240	10.25
-0.968	0.0535	53.86	36.3	78	46	745000	1241000	240	10.25
-0.958	0.053900000000000003	53.93	36.3	78	46	745000	1241000	240	10.25
-0.948	0.0545	53.98	36.3	78	46	745000	1241000	240	10.25
-0.938	0.0535	54.01	36.3	78	46	745000	1241000	240	10.25
-0.927	0.0538	54.02	36.3	78	46	745000	1241000	240	10.25
-0.917	0.0544	54.02	36.3	78	46	745000	1241000	240	10.25
-0.907	0.0538	54	36.3	78	46	745000	1241000	240	10.25
-0.897	0.0541	53.96	36.3	78	46	745000	1241000	240	10.25
-0.887	0.0542	53.92	36.3	78	46	745000	1241000	240	10.25
-0.877	0.0538	53.86	36.3	78	46	745000	1241000	240	10.25
-0.867	0.0536	53.79	36.3	78	46	745000	1241000	240	10.25
-0.857	0.0542	53.71	36.3	78	46	745000	1241000	240	10.25
-0.847	0.0542	53.62	36.3	78	46	745000	1241000	240	10.25
-0.837	0.0535	53.53	36.3	78	46	745000	1241000	240	10.25
-0.827	0.0531	53.43	36.3	78	46	745000	1241000	240	10.25
-0.817	0.0533	53.32	36.3	78	46	745000	1241000	240	10.25
-0.806	0.0536	53.22	36.3	78	46	745000	1241000	240	10.25
-0.796	0.0526	53.12	36.3	78	46	745000	1241000	240	10.25
-0.786	0.0524	53.01	36.3	78	46	745000	1241000	240	10.25
-0.776	0.0535	52.91	36.3	78	46	745000	1241000	240	10.25
-0.766	0.0534	52.82	36.3	78	46	745000	1241000	240	10.25
-0.756	0.0525	52.73	36.3	78	46	745000	1241000	240	10.25
-0.746	0.0526	52.64	36.3	78	46	745000	1241000	240	10.25
-0.736	0.0515	52.56	36.3	78	46	745000	1241000	240	10.25
-0.726	0.052	52.48	36.3	78	46	745000	1241000	240	10.25
-0.716	0.0522	52.39	36.3	78	46	745000	1241000	240	10.25
-0.706	0.0522	52.31	36.3	78	46	745000	1241000	240	10.25
-0.696	0.0527	52.22	36.3	78	46	745000	1241000	240	10.25
-0.685	0.052	52.12	36.3	78	46	745000	1241000	240	10.25
-0.675	0.0518	52.02	36.3	78	46	745000	1241000	240	10.25
-0.665	0.0521	51.91	36.3	78	46	745000	1241000	240	10.25
-0.655	0.0528	51.81	36.3	78	46	745000	1241000	240	10.25
