x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-0.985	0.1796	158.33	110	64	46	600000	1209000	210	6.91
-0.977	0.1775	148.26	110	64	46	600000	1209000	210	6.91
-0.969	0.1609	138.69	110	64	46	600000	1209000	210	6.91
-0.961	0.1336	129.61	110	64	46	600000	1209000	210	6.91
-0.952	0.1061	121.01	110	64	46	600000	1209000	210	6.91
-0.944	0.0873	112.88	110	64	46	600000	1209000	210	6.91
-0.936	0.0918	105.2	110	64	46	600000	1209000	210	6.91
-0.928	0.0797	97.97	110	64	46	600000	1209000	210	6.91
-0.92	0.0737	91.18	110	64	46	600000	1209000	210	6.91
-0.911	0.0689	84.82	110	64	46	600000	1209000	210	6.91
-0.903	0.0665	78.88	110	64	46	600000	1209000	210	6.91
-0.895	0.0631	73.36	110	64	46	600000	1209000	210	6.91
-0.887	0.06	68.27	110	64	46	600000	1209000	210	6.91
-0.878	0.0578	63.6	110	64	46	600000	1209000	210	6.91
-0.87	0.0555	59.35	110	64	46	600000	1209000	210	6.91
-0.862	0.0531	55.54	110	64	46	600000	1209000	210	6.91
-0.854	0.0525	52.18	110	64	46	600000	1209000	210	6.91
-0.846	0.05	49.29	110	64	46	600000	1209000	210	6.91
-0.837	0.0493	46.9	110	64	46	600000	1209000	210	6.91
-0.829	0.0484	45.03	110	64	46	600000	1209000	210	6.91
-0.821	0.0473	43.74	110	64	46	600000	1209000	210	6.91
-0.813	0.0459	43.04	110	64	46	600000	1209000	210	6.91
-0.805	0.0449	42.85	110	64	46	600000	1209000	210	6.91
-0.796	0.0439	42.75	110	64	46	600000	1209000	210	6.91
-0.788	0.0428	42.12	110	64	46	600000	1209000	210	6.91
-0.78	0.0423	41.43	110	64	46	600000	1209000	210	6.91
-0.772	0.0416	40.73	110	64	46	600000	1209000	210	6.91
-0.764	0.0406	40.04	110	64	46	600000	1209000	210	6.91
-0.755	0.0398	39.37	110	64	46	600000	1209000	210	6.91
-0.747	0.0384	38.74	110	64	46	600000	1209000	210	6.91
-0.739	0.0383	38.14	110	64	46	600000	1209000	210	6.91
-0.731	0.038	37.58	110	64	46	600000	1209000	210	6.91
-0.722	0.0373	37.07	110	64	46	600000	1209000	210	6.91
-0.714	0.0369	36.61	110	64	46	600000	1209000	210	6.91
-0.706	0.0358	36.2	110	64	46	600000	1209000	210	6.91
-0.698	0.0354	35.83	110	64	46	600000	1209000	210	6.91
-0.69	0.0353	35.52	110	64	46	600000	1209000	210	6.91
-0.681	0.0347	35.25	110	64	46	600000	1209000	210	6.91
-0.673	0.0343	35.03	110	64	46	600000	1209000	210	6.91
-0.665	0.0345	34.86	110	64	46	600000	1209000	210	6.91
-0.657	0.0339	34.73	110	64	46	600000	1209000	210	6.91
-0.649	0.035	34.63	110	64	46	600000	1209000	210	6.91
-0.64	0.0341	34.58	110	64	46	600000	1209000	210	6.91
-0.632	0.0348	34.56	110	64	46	600000	1209000	210	6.91
-0.624	0.0351	34.57	110	64	46	600000	1209000	210	6.91
-0.616	0.0354	34.6	110	64	46	600000	1209000	210	6.91
-0.608	0.0354	34.66	110	64	46	600000	1209000	210	6.91
