x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-2.232	0.3971	378.92	21.5	94	78	942000	1364000	240	9.89
-2.22	0.4996	353.83	21.5	94	78	942000	1364000	240	9.89
-2.209	0.4026	330.02	21.5	94	78	942000	1364000	240	9.89
-2.197	0.2796	307.46	21.5	94	78	942000	1364000	240	9.89
-2.185	0.2334	286.12	21.5	94	78	942000	1364000	240	9.89
-2.173	0.2058	265.96	21.5	94	78	942000	1364000	240	9.89
-2.161	0.1934	246.95	21.5	94	78	942000	1364000	240	9.89
-2.149	0.1845	229.07	21.5	94	78	942000	1364000	240	9.89
-2.137	0.1689	212.3	21.5	94	78	942000	1364000	240	9.89
-2.126	0.1617	196.61	21.5	94	78	942000	1364000	240	9.89
-2.114	0.1479	182	21.5	94	78	942000	1364000	240	9.89
-2.102	0.1434	168.45	21.5	94	78	942000	1364000	240	9.89
-2.09	0.1357	155.98	21.5	94	78	942000	1364000	240	9.89
-2.078	0.132	144.57	21.5	94	78	942000	1364000	240	9.89
-2.066	0.1241	134.25	21.5	94	78	942000	1364000	240	9.89
-2.055	0.1205	125.04	21.5	94	78	942000	1364000	240	9.89
-2.043	0.1177	116.97	21.5	94	78	942000	1364000	240	9.89
-2.031	0.1134	110.11	21.5	94	78	942000	1364000	240	9.89
-2.019	0.1113	104.51	21.5	94	78	942000	1364000	240	9.89
-2.007	0.1099	100.28	21.5	94	78	942000	1364000	240	9.89
-1.995	0.1056	97.52	21.5	94	78	942000	1364000	240	9.89
-1.983	0.1043	96.29	21.5	94	78	942000	1364000	240	9.89
-1.972	0.1013	96.31	21.5	94	78	942000	1364000	240	9.89
-1.96	0.0971	96.37	21.5	94	78	942000	1364000	240	9.89
-1.948	0.0961	94.92	21.5	94	78	942000	1364000	240	9.89
-1.936	0.0957	93.31	21.5	94	78	942000	1364000	240	9.89
-1.924	0.093	91.7	21.5	94	78	942000	1364000	240	9.89
-1.912	0.0906	90.14	21.5	94	78	942000	1364000	240	9.89
-1.9	0.09	88.64	21.5	94	78	942000	1364000	240	9.89
-1.889	0.0882	87.2	21.5	94	78	942000	1364000	240	9.89
-1.877	0.086	85.84	21.5	94	78	942000	1364000	240	9.89
-1.865	0.0844	84.54	21.5	94	78	942000	1364000	240	9.89
