x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-1.433	0.3718	327.03	32.6	97	78	765000	1299000	240	9.75
-1.423	0.3793	305.23	32.6	97	78	765000	1299000	240	9.75
-1.414	0.3494	284.56	32.6	97	78	765000	1299000	240	9.75
-1.404	0.2893	265	32.6	97	78	765000	1299000	240	9.75
-1.395	0.2151	246.5	32.6	97	78	765000	1299000	240	9.75
-1.386	0.1334	229.04	32.6	97	78	765000	1299000	240	9.75
-1.376	0.1661	212.59	32.6	97	78	765000	1299000	240	9.75
-1.367	0.1557	197.13	32.6	97	78	765000	1299000	240	9.75
-1.358	0.1454	182.64	32.6	97	78	765000	1299000	240	9.75
-1.348	0.1344	169.11	32.6	97	78	765000	1299000	240	9.75
-1.339	0.1257	156.51	32.6	97	78	765000	1299000	240	9.75
-1.33	0.125	144.85	32.6	97	78	765000	1299000	240	9.75
-1.32	0.1173	134.12	32.6	97	78	765000	1299000	240	9.75
-1.311	0.1111	124.34	32.6	97	78	765000	1299000	240	9.75
-1.301	0.1104	115.5	32.6	97	78	765000	1299000	240	9.75
-1.292	0.1053	107.64	32.6	97	78	765000	1299000	240	9.75
-1.283	0.1024	100.8	32.6	97	78	765000	1299000	240	9.75
-1.273	0.0993	95	32.6	97	78	765000	1299000	240	9.75
-1.264	0.0961	90.33	32.6	97	78	765000	1299000	240	9.75
-1.255	0.0937	86.87	32.6	97	78	765000	1299000	240	9.75
-1.245	0.0931	84.7	32.6	97	78	765000	1299000	240	9.75
-1.236	0.0874	83.87	32.6	97	78	765000	1299000	240	9.75
-1.227	0.0891	84.14	32.6	97	78	765000	1299000	240	9.75
-1.217	0.0858	84.42	32.6	97	78	765000	1299000	240	9.75
-1.208	0.0835	83.26	32.6	97	78	765000	1299000	240	9.75
-1.199	0.0837	81.89	32.6	97	78	765000	1299000	240	9.75
-1.189	0.0816	80.44	32.6	97	78	765000	1299000	240	9.75
-1.18	0.0832	79.04	32.6	97	78	765000	1299000	240	9.75
-1.17	0.0789	77.72	32.6	97	78	765000	1299000	240	9.75
-1.161	0.0763	76.47	32.6	97	78	765000	1299000	240	9.75
-1.152	0.0742	75.28	32.6	97	78	765000	1299000	240	9.75
-1.142	0.077	74.16	32.6	97	78	765000	1299000	240	9.75
-1.133	0.0743	73.12	32.6	97	78	765000	1299000	240	9.75
-1.124	0.0718	72.16	32.6	97	78	765000	1299000	240	9.75
-1.114	0.0709	71.28	32.6	97	78	765000	1299000	240	9.75
-1.105	0.0692	70.49	32.6	97	78	765000	1299000	240	9.75
-1.096	0.068	69.79	32.6	97	78	765000	1299000	240	9.75
-1.086	0.0676	69.17	32.6	97	78	765000	1299000	240	9.75
-1.077	0.068	68.65	32.6	97	78	765000	1299000	240	9.75
-1.067	0.0678	68.23	32.6	97	78	765000	1299000	240	9.75
-1.058	0.067	67.9	32.6	97	78	765000	1299000	240	9.75
-1.049	0.0672	67.67	32.6	97	78	765000	1299000	240	9.75
-1.039	0.0675	67.54	32.6	97	78	765000	1299000	240	9.75
-1.03	0.0676	67.5	32.6	97	78	765000	1299000	240	9.75
-1.021	0.0681	67.54	32.6	97	78	765000	1299000	240	9.75
-1.011	0.0678	67.64	32.6	97	78	765000	1299000	240	9.75
-1.002	0.0683	67.79	32.6	97	78	765000	1299000	240	9.75
-0.993	0.0685	67.99	32.6	97	78	765000	1299000	240	9.75
-0.983	0.0684	68.21	32.6	97	78	765000	1299000	240	9.75
-0.974	0.0688	68.45	32.6	97	78	765000	1299000	240	9.75
-0.964	0.0675	68.68	32.6	97	78	765000	1299000	240	9.75
-0.955	0.0703	68.91	32.6	97	78	765000	1299000	240	9.75
-0.946	0.0692	69.12	32.6	97	78	765000	1299000	240	9.75
-0.936	0.0695	69.3	32.6	97	78	765000	1299000	240	9.75
-0.927	0.0697	69.46	32.6	97	78	765000	1299000	240	9.75
-0.918	0.0699	69.58	32.6	97	78	765000	1299000	240	9.75
-0.908	0.0709	69.66	32.6	97	78	765000	1299000	240	9.75
-0.899	0.0698	69.72	32.6	97	78	765000	1299000	240	9.75
-0.89	0.071	69.76	32.6	97	78	765000	1299000	240	9.75
-0.88	0.0695	69.77	32.6	97	78	765000	1299000	240	9.75
-0.871	0.0691	69.75	32.6	97	78	765000	1299000	240	9.75
-0.861	0.0696	69.71	32.6	97	78	765000	1299000	240	9.75
-0.852	0.068	69.64	32.6	97	78	765000	1299000	240	9.75
-0.843	0.0704	69.55	32.6	97	78	765000	1299000	240	9.75
-0.833	0.0689	69.43	32.6	97	78	765000	1299000	240	9.75
-0.824	0.0708	69.29	32.6	97	78	765000	1299000	240	9.75
-0.815	0.0704	69.12	32.6	97	78	765000	1299000	240	9.75
-0.805	0.0672	68.94	32.6	97	78	765000	1299000	240	9.75
-0.796	0.068	68.76	32.6	97	78	765000	1299000	240	9.75
-0.787	0.0693	68.57	32.6	97	78	765000	1299000	240	9.75
-0.777	0.0681	68.39	32.6	97	78	765000	1299000	240	9.75
-0.768	0.0688	68.22	32.6	97	78	765000	1299000	240	9.75
-0.758	0.0681	68.05	32.6	97	78	765000	1299000	240	9.75
-0.749	0.0677	67.88	32.6	97	78	765000	1299000	240	9.75
-0.74	0.0678	67.72	32.6	97	78	765000	1299000	240	9.75
-0.73	0.0673	67.55	32.6	97	78	765000	1299000	240	9.75
-0.721	0.0674	67.39	32.6	97	78	765000	1299000	240	9.75
-0.712	0.0675	67.23	32.6	97	78	765000	1299000	240	9.75
-0.702	0.0662	67.06	32.6	97	78	765000	1299000	240	9.75
-0.693	0.0663	66.88	32.6	97	78	765000	1299000	240	9.75
-0.684	0.066	66.68	32.6	97	78	765000	1299000	240	9.75
-0.674	0.066	66.48	32.6	97	78	765000	1299000	240	9.75
-0.665	0.0655	66.25	32.6	97	78	765000	1299000	240	9.75
-0.655	0.0668	66.02	32.6	97	78	765000	1299000	240	9.75
-0.646	0.0676	65.78	32.6	97	78	765000	1299000	240	9.75
-0.637	0.0668	65.54	32.6	97	78	765000	1299000	240	9.75
-0.627	0.0673	65.3	32.6	97	78	765000	1299000	240	9.75
-0.618	0.0646	65.09	32.6	97	78	765000	1299000	240	9.75
-0.609	0.0644	64.9	32.6	97	78	765000	1299000	240	9.75
-0.599	0.065	64.74	32.6	97	78	765000	1299000	240	9.75
-0.59	0.064	64.62	32.6	97	78	765000	1299000	240	9.75
-0.581	0.0647	64.52	32.6	97	78	765000	1299000	240	9.75
-0.571	0.0634	64.45	32.6	97	78	765000	1299000	240	9.75
-0.562	0.0649	64.4	32.6	97	78	765000	1299000	240	9.75
-0.552	0.0635	64.36	32.6	97	78	765000	1299000	240	9.75
-0.543	0.0632	64.33	32.6	97	78	765000	1299000	240	9.75
-0.534	0.0628	64.31	32.6	97	78	765000	1299000	240	9.75
-0.524	0.0638	64.3	32.6	97	78	765000	1299000	240	9.75
-0.515	0.0611	64.28	32.6	97	78	765000	1299000	240	9.75
-0.506	0.0633	64.26	32.6	97	78	765000	1299000	240	9.75
-0.496	0.066	64.25	32.6	97	78	765000	1299000	240	9.75
-0.487	0.0645	64.23	32.6	97	78	765000	1299000	240	9.75
-0.478	0.0669	64.22	32.6	97	78	765000	1299000	240	9.75
-0.468	0.066	64.21	32.6	97	78	765000	1299000	240	9.75
-0.459	0.067	64.19	32.6	97	78	765000	1299000	240	9.75
-0.449	0.0658	64.18	32.6	97	78	765000	1299000	240	9.75
-0.44	0.0641	64.16	32.6	97	78	765000	1299000	240	9.75
-0.431	0.0631	64.13	32.6	97	78	765000	1299000	240	9.75
-0.421	0.0646	64.09	32.6	97	78	765000	1299000	240	9.75
-0.412	0.0627	64.05	32.6	97	78	765000	1299000	240	9.75
-0.403	0.0638	63.99	32.6	97	78	765000	1299000	240	9.75
-0.393	0.0635	63.93	32.6	97	78	765000	1299000	240	9.75
-0.384	0.0617	63.86	32.6	97	78	765000	1299000	240	9.75
-0.375	0.0624	63.78	32.6	97	78	765000	1299000	240	9.75
-0.365	0.0642	63.7	32.6	97	78	765000	1299000	240	9.75
-0.356	0.064	63.63	32.6	97	78	765000	1299000	240	9.75
-0.346	0.0623	63.57	32.6	97	78	765000	1299000	240	9.75
-0.337	0.0633	63.54	32.6	97	78	765000	1299000	240	9.75
-0.328	0.0639	63.54	32.6	97	78	765000	1299000	240	9.75
-0.318	0.0632	63.57	32.6	97	78	765000	1299000	240	9.75
-0.309	0.0648	63.63	32.6	97	78	765000	1299000	240	9.75
-0.3	0.0647	63.73	32.6	97	78	765000	1299000	240	9.75
-0.29	0.0648	63.85	32.6	97	78	765000	1299000	240	9.75
-0.281	0.0654	63.99	32.6	97	78	765000	1299000	240	9.75
-0.272	0.0633	64.13	32.6	97	78	765000	1299000	240	9.75
-0.262	0.0637	64.27	32.6	97	78	765000	1299000	240	9.75
-0.253	0.0633	64.42	32.6	97	78	765000	1299000	240	9.75
-0.243	0.0656	64.56	32.6	97	78	765000	1299000	240	9.75
-0.234	0.0635	64.71	32.6	97	78	765000	1299000	240	9.75
