x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-1.996	0.2256	170.34	56.1	102	94	910000	1366000	260	10.1
-1.985	0.1396	160.36	56.1	102	94	910000	1366000	260	10.1
-1.974	0.1683	150.85	56.1	102	94	910000	1366000	260	10.1
-1.963	0.1306	141.81	56.1	102	94	910000	1366000	260	10.1
-1.952	0.1446	133.22	56.1	102	94	910000	1366000	260	10.1
-1.941	0.104	125.07	56.1	102	94	910000	1366000	260	10.1
-1.93	0.1096	117.36	56.1	102	94	910000	1366000	260	10.1
-1.919	0.0944	110.07	56.1	102	94	910000	1366000	260	10.1
-1.908	0.0873	103.21	56.1	102	94	910000	1366000	260	10.1
-1.897	0.0831	96.76	56.1	102	94	910000	1366000	260	10.1
-1.886	0.0788	90.72	56.1	102	94	910000	1366000	260	10.1
-1.875	0.076	85.08	56.1	102	94	910000	1366000	260	10.1
-1.864	0.0714	79.86	56.1	102	94	910000	1366000	260	10.1
-1.853	0.0684	75.03	56.1	102	94	910000	1366000	260	10.1
-1.842	0.0668	70.62	56.1	102	94	910000	1366000	260	10.1
-1.831	0.0643	66.63	56.1	102	94	910000	1366000	260	10.1
-1.82	0.0631	63.06	56.1	102	94	910000	1366000	260	10.1
-1.809	0.0607	59.94	56.1	102	94	910000	1366000	260	10.1
-1.798	0.0599	57.28	56.1	102	94	910000	1366000	260	10.1
-1.787	0.0573	55.1	56.1	102	94	910000	1366000	260	10.1
-1.776	0.0557	53.45	56.1	102	94	910000	1366000	260	10.1
-1.765	0.0552	52.33	56.1	102	94	910000	1366000	260	10.1
-1.754	0.054	51.66	56.1	102	94	910000	1366000	260	10.1
-1.743	0.0517	51.13	56.1	102	94	910000	1366000	260	10.1
-1.732	0.0514	50.27	56.1	102	94	910000	1366000	260	10.1
-1.721	0.0504	49.42	56.1	102	94	910000	1366000	260	10.1
-1.711	0.0484	48.56	56.1	102	94	910000	1366000	260	10.1
-1.7	0.0479	47.72	56.1	102	94	910000	1366000	260	10.1
-1.689	0.0478	46.91	56.1	102	94	910000	1366000	260	10.1
-1.678	0.0467	46.14	56.1	102	94	910000	1366000	260	10.1
-1.667	0.0458	45.43	56.1	102	94	910000	1366000	260	10.1
-1.656	0.0455	44.77	56.1	102	94	910000	1366000	260	10.1
-1.645	0.0447	44.18	56.1	102	94	910000	1366000	260	10.1
-1.634	0.0432	43.66	56.1	102	94	910000	1366000	260	10.1
-1.623	0.0429	43.2	56.1	102	94	910000	1366000	260	10.1
-1.612	0.0428	42.81	56.1	102	94	910000	1366000	260	10.1
-1.601	0.0411	42.49	56.1	102	94	910000	1366000	260	10.1
-1.59	0.0415	42.22	56.1	102	94	910000	1366000	260	10.1
-1.579	0.0408	42.02	56.1	102	94	910000	1366000	260	10.1
-1.568	0.0405	41.87	56.1	102	94	910000	1366000	260	10.1
-1.557	0.042	41.76	56.1	102	94	910000	1366000	260	10.1
-1.546	0.0418	41.69	56.1	102	94	910000	1366000	260	10.1
-1.535	0.0419	41.65	56.1	102	94	910000	1366000	260	10.1
-1.524	0.0414	41.64	56.1	102	94	910000	1366000	260	10.1
-1.513	0.043	41.65	56.1	102	94	910000	1366000	260	10.1
-1.502	0.0422	41.67	56.1	102	94	910000	1366000	260	10.1
-1.491	0.042	41.7	56.1	102	94	910000	1366000	260	10.1
-1.48	0.0427	41.72	56.1	102	94	910000	1366000	260	10.1
-1.469	0.0413	41.74	56.1	102	94	910000	1366000	260	10.1
-1.458	0.0428	41.75	56.1	102	94	910000	1366000	260	10.1
-1.447	0.0422	41.75	56.1	102	94	910000	1366000	260	10.1
-1.436	0.0418	41.72	56.1	102	94	910000	1366000	260	10.1
-1.425	0.0424	41.68	56.1	102	94	910000	1366000	260	10.1
-1.414	0.0417	41.61	56.1	102	94	910000	1366000	260	10.1
-1.404	0.0418	41.53	56.1	102	94	910000	1366000	260	10.1
-1.393	0.0411	41.43	56.1	102	94	910000	1366000	260	10.1
