x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-1.553	0.2314	194.27	68	101	94	800000	1315000	260	10.15
-1.544	0.1992	181.43	68	101	94	800000	1315000	260	10.15
-1.534	0.1889	169.24	68	101	94	800000	1315000	260	10.15
-1.524	0.1885	157.68	68	101	94	800000	1315000	260	10.15
-1.515	0.1499	146.75	68	101	94	800000	1315000	260	10.15
-1.505	0.0831	136.42	68	101	94	800000	1315000	260	10.15
-1.495	0.1003	126.68	68	101	94	800000	1315000	260	10.15
-1.485	0.0919	117.52	68	101	94	800000	1315000	260	10.15
-1.476	0.0854	108.92	68	101	94	800000	1315000	260	10.15
-1.466	0.0807	100.88	68	101	94	800000	1315000	260	10.15
-1.456	0.0758	93.39	68	101	94	800000	1315000	260	10.15
-1.447	0.0729	86.45	68	101	94	800000	1315000	260	10.15
-1.437	0.0698	80.05	68	101	94	800000	1315000	260	10.15
-1.427	0.0673	74.19	68	101	94	800000	1315000	260	10.15
-1.417	0.0648	68.89	68	101	94	800000	1315000	260	10.15
-1.408	0.063	64.15	68	101	94	800000	1315000	260	10.15
-1.398	0.0597	59.99	68	101	94	800000	1315000	260	10.15
-1.388	0.0586	56.44	68	101	94	800000	1315000	260	10.15
-1.379	0.0572	53.54	68	101	94	800000	1315000	260	10.15
-1.369	0.0552	51.33	68	101	94	800000	1315000	260	10.15
-1.359	0.0541	49.86	68	101	94	800000	1315000	260	10.15
-1.35	0.0533	49.19	68	101	94	800000	1315000	260	10.15
-1.34	0.0511	49.19	68	101	94	800000	1315000	260	10.15
-1.33	0.0501	49.31	68	101	94	800000	1315000	260	10.15
-1.32	0.049	48.69	68	101	94	800000	1315000	260	10.15
-1.311	0.049	47.94	68	101	94	800000	1315000	260	10.15
-1.301	0.0474	47.11	68	101	94	800000	1315000	260	10.15
-1.291	0.047	46.29	68	101	94	800000	1315000	260	10.15
-1.282	0.0464	45.52	68	101	94	800000	1315000	260	10.15
-1.272	0.0452	44.79	68	101	94	800000	1315000	260	10.15
-1.262	0.0442	44.1	68	101	94	800000	1315000	260	10.15
-1.252	0.0445	43.46	68	101	94	800000	1315000	260	10.15
-1.243	0.0428	42.88	68	101	94	800000	1315000	260	10.15
-1.233	0.0432	42.35	68	101	94	800000	1315000	260	10.15
-1.223	0.0429	41.88	68	101	94	800000	1315000	260	10.15
-1.214	0.0411	41.47	68	101	94	800000	1315000	260	10.15
-1.204	0.04	41.13	68	101	94	800000	1315000	260	10.15
-1.194	0.0395	40.83	68	101	94	800000	1315000	260	10.15
-1.184	0.0404	40.59	68	101	94	800000	1315000	260	10.15
-1.175	0.0396	40.4	68	101	94	800000	1315000	260	10.15
-1.165	0.0399	40.26	68	101	94	800000	1315000	260	10.15
-1.155	0.0389	40.16	68	101	94	800000	1315000	260	10.15
-1.146	0.0391	40.1	68	101	94	800000	1315000	260	10.15
-1.136	0.0403	40.07	68	101	94	800000	1315000	260	10.15
-1.126	0.0408	40.08	68	101	94	800000	1315000	260	10.15
-1.117	0.0412	40.11	68	101	94	800000	1315000	260	10.15
-1.107	0.04	40.16	68	101	94	800000	1315000	260	10.15
-1.097	0.0405	40.23	68	101	94	800000	1315000	260	10.15
-1.087	0.0408	40.31	68	101	94	800000	1315000	260	10.15
-1.078	0.0415	40.38	68	101	94	800000	1315000	260	10.15
-1.068	0.0412	40.45	68	101	94	800000	1315000	260	10.15
-1.058	0.0411	40.5	68	101	94	800000	1315000	260	10.15
-1.049	0.0411	40.55	68	101	94	800000	1315000	260	10.15
-1.039	0.0405	40.57	68	101	94	800000	1315000	260	10.15
-1.029	0.0409	40.58	68	101	94	800000	1315000	260	10.15
-1.019	0.0398	40.57	68	101	94	800000	1315000	260	10.15
-1.01	0.0406	40.55	68	101	94	800000	1315000	260	10.15
-1	0.0398	40.52	68	101	94	800000	1315000	260	10.15
-0.99	0.0407	40.48	68	101	94	800000	1315000	260	10.15
-0.981	0.0408	40.45	68	101	94	800000	1315000	260	10.15
-0.971	0.0406	40.42	68	101	94	800000	1315000	260	10.15
-0.961	0.0403	40.41	68	101	94	800000	1315000	260	10.15
-0.951	0.0393	40.4	68	101	94	800000	1315000	260	10.15
-0.942	0.0406	40.4	68	101	94	800000	1315000	260	10.15
-0.932	0.04	40.41	68	101	94	800000	1315000	260	10.15
