time	depth	model	type
1.62	37	cda60	1
2.11	39	cda60	1
2.58	40.5	cda60	1
3.06	43	cda60	1
3.58	47	cda60	1
4.08	49.5	cda60	1
4.52	50	cda60	1
4.94	52	cda60	1
5.33	54	cda60	1
5.72	57.5	cda60	1
6.16	59.5	cda60	1
6.61	65	cda60	1
6.95	67	cda60	1
7.28	66.5	cda60	1
7.65	65	cda60	1
8.08	64	cda60	1
8.47	65.5	cda60	1
8.98	66	cda60	1
9.36	68.5	cda60	1
9.8	70.5	cda60	1
10.29	71	cda60	1
10.76	72.5	cda60	1
11.24	76.5	cda60	1
11.71	76	cda60	1
12.21	77	cda60	1
12.75	77.5	cda60	1
13.33	79.5	cda60	1
13.91	79	cda60	1
14.56	83.5	cda60	1
15.25	81	cda60	1
1.36	36	cdf60	2
1.74	36	cdf60	2
2.13	37.5	cdf60	2
2.51	45	cdf60	2
2.94	50.5	cdf60	2
3.37	58	cdf60	2
3.8	59.5	cdf60	2
4.16	62	cdf60	2
4.47	58.5	cdf60	2
4.82	56.5	cdf60	2
5.18	57	cdf60	2
5.64	58.5	cdf60	2
6.19	58	cdf60	2
6.74	66.5	cdf60	2
7.33	73.5	cdf60	2
7.91	70.5	cdf60	2
8.48	71	cdf60	2
9.07	73	cdf60	2
9.65	75	cdf60	2
10.25	78.5	cdf60	2
10.84	81	cdf60	2
11.43	83.5	cdf60	2
12.02	85	cdf60	2
12.6	87	cdf60	2
13.16	91.5	cdf60	2
13.72	92	cdf60	2
14.26	93	cdf60	2
14.82	95	cdf60	2
15.36	96.5	cdf60	2
15.84	97	cdf60	2
16.32	98.5	cdf60	2
1.24	36.5	cdp60	3
1.56	39.5	cdp60	3
1.88	41.5	cdp60	3
2.94	45.5	cdp60	3
3.29	51.5	cdp60	3
3.62	58.5	cdp60	3
3.91	65	cdp60	3
4.16	65.5	cdp60	3
4.49	63	cdp60	3
4.89	62	cdp60	3
5.29	61	cdp60	3
5.7	64.5	cdp60	3
6.1	64.5	cdp60	3
6.5	66	cdp60	3
6.91	64	cdp60	3
7.31	61.5	cdp60	3
7.71	61	cdp60	3
8.11	63.5	cdp60	3
8.5	65	cdp60	3
8.88	67.5	cdp60	3
9.24	73.5	cdp60	3
9.6	73.5	cdp60	3
9.94	76.5	cdp60	3
1.79	37	cda80	1
2.27	40.5	cda80	1
2.73	40	cda80	1
3.21	43	cda80	1
3.66	44.5	cda80	1
4.07	48.5	cda80	1
4.5	52.5	cda80	1
4.89	54.5	cda80	1
5.29	60.5	cda80	1
5.72	63	cda80	1
6.16	67	cda80	1
6.55	74	cda80	1
6.92	78.5	cda80	1
7.27	83	cda80	1
7.65	85	cda80	1
8.04	89	cda80	1
8.43	89	cda80	1
8.85	90	cda80	1
9.29	88	cda80	1
9.7	90.5	cda80	1
10.12	86.5	cda80	1
10.58	88	cda80	1
11.01	84.5	cda80	1
11.42	85.5	cda80	1
11.82	83	cda80	1
12.28	85.5	cda80	1
12.73	85.5	cda80	1
13.24	84.5	cda80	1
13.68	86.5	cda80	1
14.14	85	cda80	1
14.6	84.5	cda80	1
15.09	85	cda80	1
