segment	qs	z1100	phi.ww	phi	z1100.ref
N. Cascadia	75	74.2	2.2	3.44	Currie & Hyndman (2006)
Nankai	69	96.3	3.9	6.9	Currie & Hyndman (2006)
Mexico	72	98.1	4.2	7.15	Currie & Hyndman (2006)
Columbia-Ecuador	80	66.4	4.5	10.4	Global average from Currie & Hyndman (2006)
S.C. Chile	80	66.4	8.6	20	Global average from Currie & Hyndman (2006)
Kyushu	69	83.2	10.5	13.5	Currie & Hyndman (2006)
N. Sumatra	120	26.8	11.2	25	Wada & Wang (2009)
Alaska	80	66.4	13.3	25.3	Global average from Currie & Hyndman (2006)
N. Chile	85	58.7	13.4	38.4	Currie & Hyndman (2006)
N. Costa Rica	80	58.5	17.1	20.4	Global average from Currie & Hyndman (2006)
Aleutians	75	51.6	22.8	39.6	Currie & Hyndman (2006)
N. Hikurangi	80	58.5	22.9	41	Global average from Currie & Hyndman (2006)
Mariana	80	47.5	36.7	54.6	Global average from Currie & Hyndman (2006)
Kermadec	80	47.5	47.3	60	Global average from Currie & Hyndman (2006)
Kamchatka	70	80.2	47.8	77	Currie & Hyndman (2006)
Izu	80	47.5	52.2	77	Global average from Currie & Hyndman (2006)
NE Japan	88	47.7	52.3	107.9	Currie & Hyndman (2006)
