x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-3.185	0.3138	267.68	22	87	62	1070000	1406000	240	9.8
-3.17	0.3175	251.06	22	87	62	1070000	1406000	240	9.8
-3.155	0.2241	235.26	22	87	62	1070000	1406000	240	9.8
-3.14	0.2204	220.26	22	87	62	1070000	1406000	240	9.8
-3.125	0.1863	206.03	22	87	62	1070000	1406000	240	9.8
-3.11	0.1732	192.57	22	87	62	1070000	1406000	240	9.8
-3.095	0.1471	179.84	22	87	62	1070000	1406000	240	9.8
-3.08	0.1418	167.85	22	87	62	1070000	1406000	240	9.8
-3.065	0.1307	156.58	22	87	62	1070000	1406000	240	9.8
-3.051	0.1247	146.01	22	87	62	1070000	1406000	240	9.8
-3.036	0.1155	136.14	22	87	62	1070000	1406000	240	9.8
-3.021	0.1108	126.96	22	87	62	1070000	1406000	240	9.8
-3.006	0.1045	118.48	22	87	62	1070000	1406000	240	9.8
-2.991	0.1006	110.69	22	87	62	1070000	1406000	240	9.8
-2.976	0.0993	103.6	22	87	62	1070000	1406000	240	9.8
-2.961	0.0932	97.23	22	87	62	1070000	1406000	240	9.8
-2.946	0.0914	91.6	22	87	62	1070000	1406000	240	9.8
-2.932	0.0889	86.73	22	87	62	1070000	1406000	240	9.8
-2.917	0.0865	82.67	22	87	62	1070000	1406000	240	9.8
-2.902	0.0847	79.46	22	87	62	1070000	1406000	240	9.8
-2.887	0.0804	77.16	22	87	62	1070000	1406000	240	9.8
-2.872	0.0796	75.79	22	87	62	1070000	1406000	240	9.8
-2.857	0.0778	75.2	22	87	62	1070000	1406000	240	9.8
-2.842	0.0758	74.72	22	87	62	1070000	1406000	240	9.8
-2.827	0.0759	73.54	22	87	62	1070000	1406000	240	9.8
-2.812	0.0735	72.36	22	87	62	1070000	1406000	240	9.8
-2.798	0.0718	71.19	22	87	62	1070000	1406000	240	9.8
-2.783	0.0712	70.05	22	87	62	1070000	1406000	240	9.8
-2.768	0.0702	68.95	22	87	62	1070000	1406000	240	9.8
-2.753	0.0677	67.92	22	87	62	1070000	1406000	240	9.8
-2.738	0.0684	66.94	22	87	62	1070000	1406000	240	9.8
-2.723	0.0661	66.04	22	87	62	1070000	1406000	240	9.8
-2.708	0.0663	65.2	22	87	62	1070000	1406000	240	9.8
-2.693	0.0643	64.45	22	87	62	1070000	1406000	240	9.8
-2.679	0.063	63.77	22	87	62	1070000	1406000	240	9.8
-2.664	0.0619	63.18	22	87	62	1070000	1406000	240	9.8
-2.649	0.0621	62.65	22	87	62	1070000	1406000	240	9.8
-2.634	0.0626	62.19	22	87	62	1070000	1406000	240	9.8
-2.619	0.0595	61.8	22	87	62	1070000	1406000	240	9.8
-2.604	0.0607	61.47	22	87	62	1070000	1406000	240	9.8
-2.589	0.0609	61.18	22	87	62	1070000	1406000	240	9.8
-2.574	0.0614	60.95	22	87	62	1070000	1406000	240	9.8
-2.56	0.0606	60.75	22	87	62	1070000	1406000	240	9.8
-2.545	0.0616	60.6	22	87	62	1070000	1406000	240	9.8
-2.53	0.0601	60.48	22	87	62	1070000	1406000	240	9.8
-2.515	0.0611	60.39	22	87	62	1070000	1406000	240	9.8
-2.5	0.0609	60.31	22	87	62	1070000	1406000	240	9.8
-2.485	0.0607	60.25	22	87	62	1070000	1406000	240	9.8
-2.47	0.0608	60.19	22	87	62	1070000	1406000	240	9.8
-2.455	0.0616	60.11	22	87	62	1070000	1406000	240	9.8
-2.44	0.0606	60.03	22	87	62	1070000	1406000	240	9.8
-2.426	0.0602	59.93	22	87	62	1070000	1406000	240	9.8
-2.411	0.0598	59.83	22	87	62	1070000	1406000	240	9.8
-2.396	0.06	59.7	22	87	62	1070000	1406000	240	9.8
-2.381	0.0591	59.57	22	87	62	1070000	1406000	240	9.8
-2.366	0.0595	59.44	22	87	62	1070000	1406000	240	9.8
-2.351	0.0586	59.3	22	87	62	1070000	1406000	240	9.8
-2.336	0.0586	59.17	22	87	62	1070000	1406000	240	9.8
-2.321	0.0596	59.05	22	87	62	1070000	1406000	240	9.8
-2.307	0.0581	58.93	22	87	62	1070000	1406000	240	9.8
-2.292	0.0586	58.82	22	87	62	1070000	1406000	240	9.8
-2.277	0.0595	58.73	22	87	62	1070000	1406000	240	9.8
-2.262	0.0591	58.64	22	87	62	1070000	1406000	240	9.8
