x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-1.954	0.2826	239.81	36.3	82	62	885000	1338000	250	10.23
-1.943	0.2878	224.5	36.3	82	62	885000	1338000	250	10.23
-1.932	0.2074	209.97	36.3	82	62	885000	1338000	250	10.23
-1.921	0.2113	196.19	36.3	82	62	885000	1338000	250	10.23
-1.909	0.1675	183.14	36.3	82	62	885000	1338000	250	10.23
-1.898	0.1232	170.81	36.3	82	62	885000	1338000	250	10.23
-1.887	0.1303	159.17	36.3	82	62	885000	1338000	250	10.23
-1.876	0.1188	148.22	36.3	82	62	885000	1338000	250	10.23
-1.865	0.1111	137.93	36.3	82	62	885000	1338000	250	10.23
-1.854	0.1063	128.3	36.3	82	62	885000	1338000	250	10.23
-1.843	0.1014	119.32	36.3	82	62	885000	1338000	250	10.23
-1.832	0.0955	110.99	36.3	82	62	885000	1338000	250	10.23
-1.821	0.0904	103.31	36.3	82	62	885000	1338000	250	10.23
-1.81	0.089	96.28	36.3	82	62	885000	1338000	250	10.23
-1.799	0.0849	89.9	36.3	82	62	885000	1338000	250	10.23
-1.788	0.0829	84.2	36.3	82	62	885000	1338000	250	10.23
-1.777	0.0803	79.2	36.3	82	62	885000	1338000	250	10.23
-1.766	0.0778	74.92	36.3	82	62	885000	1338000	250	10.23
-1.755	0.0758	71.41	36.3	82	62	885000	1338000	250	10.23
-1.744	0.0748	68.71	36.3	82	62	885000	1338000	250	10.23
-1.733	0.0703	66.88	36.3	82	62	885000	1338000	250	10.23
-1.722	0.0695	65.94	36.3	82	62	885000	1338000	250	10.23
-1.711	0.0681	65.72	36.3	82	62	885000	1338000	250	10.23
-1.7	0.0677	65.51	36.3	82	62	885000	1338000	250	10.23
-1.689	0.0651	64.48	36.3	82	62	885000	1338000	250	10.23
-1.678	0.0641	63.37	36.3	82	62	885000	1338000	250	10.23
-1.667	0.0635	62.23	36.3	82	62	885000	1338000	250	10.23
-1.656	0.0607	61.13	36.3	82	62	885000	1338000	250	10.23
-1.645	0.0606	60.09	36.3	82	62	885000	1338000	250	10.23
-1.634	0.0609	59.11	36.3	82	62	885000	1338000	250	10.23
-1.623	0.0574	58.2	36.3	82	62	885000	1338000	250	10.23
-1.611	0.0583	57.36	36.3	82	62	885000	1338000	250	10.23
-1.6	0.0564	56.6	36.3	82	62	885000	1338000	250	10.23
-1.589	0.0561	55.92	36.3	82	62	885000	1338000	250	10.23
-1.578	0.0556	55.33	36.3	82	62	885000	1338000	250	10.23
-1.567	0.0552	54.82	36.3	82	62	885000	1338000	250	10.23
-1.556	0.0536	54.39	36.3	82	62	885000	1338000	250	10.23
-1.545	0.0524	54.04	36.3	82	62	885000	1338000	250	10.23
-1.534	0.0522	53.75	36.3	82	62	885000	1338000	250	10.23
-1.523	0.0533	53.54	36.3	82	62	885000	1338000	250	10.23
-1.512	0.0524	53.4	36.3	82	62	885000	1338000	250	10.23
-1.501	0.053900000000000003	53.31	36.3	82	62	885000	1338000	250	10.23
-1.49	0.0525	53.28	36.3	82	62	885000	1338000	250	10.23
-1.479	0.0535	53.29	36.3	82	62	885000	1338000	250	10.23
-1.468	0.0535	53.35	36.3	82	62	885000	1338000	250	10.23
-1.457	0.054	53.44	36.3	82	62	885000	1338000	250	10.23
-1.446	0.055	53.55	36.3	82	62	885000	1338000	250	10.23
-1.435	0.0544	53.67	36.3	82	62	885000	1338000	250	10.23
-1.424	0.0523	53.81	36.3	82	62	885000	1338000	250	10.23
-1.413	0.0552	53.95	36.3	82	62	885000	1338000	250	10.23
-1.402	0.0557	54.08	36.3	82	62	885000	1338000	250	10.23
-1.391	0.0546	54.2	36.3	82	62	885000	1338000	250	10.23
-1.38	0.0531	54.3	36.3	82	62	885000	1338000	250	10.23
-1.369	0.0543	54.37	36.3	82	62	885000	1338000	250	10.23
-1.358	0.0545	54.42	36.3	82	62	885000	1338000	250	10.23
-1.347	0.0558	54.44	36.3	82	62	885000	1338000	250	10.23
-1.336	0.0544	54.44	36.3	82	62	885000	1338000	250	10.23
-1.325	0.0545	54.41	36.3	82	62	885000	1338000	250	10.23
-1.313	0.0536	54.36	36.3	82	62	885000	1338000	250	10.23
-1.302	0.053900000000000003	54.29	36.3	82	62	885000	1338000	250	10.23
-1.291	0.0544	54.21	36.3	82	62	885000	1338000	250	10.23
-1.28	0.0544	54.12	36.3	82	62	885000	1338000	250	10.23
-1.269	0.0538	54.03	36.3	82	62	885000	1338000	250	10.23
-1.258	0.0544	53.93	36.3	82	62	885000	1338000	250	10.23
-1.247	0.0536	53.84	36.3	82	62	885000	1338000	250	10.23
-1.236	0.053900000000000003	53.74	36.3	82	62	885000	1338000	250	10.23
-1.225	0.0542	53.64	36.3	82	62	885000	1338000	250	10.23
-1.214	0.0534	53.54	36.3	82	62	885000	1338000	250	10.23
-1.203	0.0537	53.44	36.3	82	62	885000	1338000	250	10.23
-1.192	0.0524	53.35	36.3	82	62	885000	1338000	250	10.23
-1.181	0.0525	53.26	36.3	82	62	885000	1338000	250	10.23
-1.17	0.0538	53.17	36.3	82	62	885000	1338000	250	10.23
-1.159	0.0536	53.09	36.3	82	62	885000	1338000	250	10.23
-1.148	0.0528	53.01	36.3	82	62	885000	1338000	250	10.23
-1.137	0.0529	52.93	36.3	82	62	885000	1338000	250	10.23
-1.126	0.0515	52.85	36.3	82	62	885000	1338000	250	10.23
-1.115	0.0532	52.77	36.3	82	62	885000	1338000	250	10.23
-1.104	0.0523	52.69	36.3	82	62	885000	1338000	250	10.23
-1.093	0.0535	52.61	36.3	82	62	885000	1338000	250	10.23
-1.082	0.0531	52.53	36.3	82	62	885000	1338000	250	10.23
-1.071	0.0522	52.44	36.3	82	62	885000	1338000	250	10.23
-1.06	0.0525	52.36	36.3	82	62	885000	1338000	250	10.23
-1.049	0.0519	52.26	36.3	82	62	885000	1338000	250	10.23
-1.038	0.052	52.17	36.3	82	62	885000	1338000	250	10.23
-1.026	0.0525	52.07	36.3	82	62	885000	1338000	250	10.23
-1.015	0.0525	51.98	36.3	82	62	885000	1338000	250	10.23
-1.004	0.0521	51.88	36.3	82	62	885000	1338000	250	10.23
-0.993	0.0516	51.8	36.3	82	62	885000	1338000	250	10.23
-0.982	0.0518	51.72	36.3	82	62	885000	1338000	250	10.23
-0.971	0.0519	51.65	36.3	82	62	885000	1338000	250	10.23
-0.96	0.0513	51.6	36.3	82	62	885000	1338000	250	10.23
-0.949	0.0514	51.56	36.3	82	62	885000	1338000	250	10.23
-0.938	0.0513	51.54	36.3	82	62	885000	1338000	250	10.23
-0.927	0.0512	51.53	36.3	82	62	885000	1338000	250	10.23
-0.916	0.051	51.53	36.3	82	62	885000	1338000	250	10.23
-0.905	0.0516	51.55	36.3	82	62	885000	1338000	250	10.23
-0.894	0.05	51.58	36.3	82	62	885000	1338000	250	10.23
-0.883	0.0524	51.62	36.3	82	62	885000	1338000	250	10.23
-0.872	0.051	51.66	36.3	82	62	885000	1338000	250	10.23
-0.861	0.0514	51.71	36.3	82	62	885000	1338000	250	10.23
-0.85	0.0522	51.76	36.3	82	62	885000	1338000	250	10.23
-0.839	0.0521	51.81	36.3	82	62	885000	1338000	250	10.23
-0.828	0.052	51.86	36.3	82	62	885000	1338000	250	10.23
-0.817	0.0526	51.91	36.3	82	62	885000	1338000	250	10.23
-0.806	0.0523	51.95	36.3	82	62	885000	1338000	250	10.23
-0.795	0.0526	51.99	36.3	82	62	885000	1338000	250	10.23
-0.784	0.053	52.03	36.3	82	62	885000	1338000	250	10.23
-0.773	0.051	52.06	36.3	82	62	885000	1338000	250	10.23
-0.762	0.0525	52.08	36.3	82	62	885000	1338000	250	10.23
-0.751	0.0524	52.09	36.3	82	62	885000	1338000	250	10.23
-0.74	0.0516	52.1	36.3	82	62	885000	1338000	250	10.23
-0.728	0.0524	52.1	36.3	82	62	885000	1338000	250	10.23
-0.717	0.0521	52.09	36.3	82	62	885000	1338000	250	10.23
-0.706	0.0513	52.08	36.3	82	62	885000	1338000	250	10.23
-0.695	0.0524	52.07	36.3	82	62	885000	1338000	250	10.23
-0.684	0.051	52.05	36.3	82	62	885000	1338000	250	10.23
-0.673	0.0525	52.04	36.3	82	62	885000	1338000	250	10.23
-0.662	0.0517	52.04	36.3	82	62	885000	1338000	250	10.23
-0.651	0.0515	52.04	36.3	82	62	885000	1338000	250	10.23
-0.64	0.0524	52.04	36.3	82	62	885000	1338000	250	10.23
-0.629	0.0524	52.06	36.3	82	62	885000	1338000	250	10.23
-0.618	0.0521	52.08	36.3	82	62	885000	1338000	250	10.23
-0.607	0.0525	52.11	36.3	82	62	885000	1338000	250	10.23
