x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-1.643	0.2131	191.06	56.1	77	62	820000	1319000	250	10.01
-1.633	0.1948	178.71	56.1	77	62	820000	1319000	250	10.01
-1.623	0.2304	166.98	56.1	77	62	820000	1319000	250	10.01
-1.613	0.1613	155.87	56.1	77	62	820000	1319000	250	10.01
-1.603	0.1279	145.35	56.1	77	62	820000	1319000	250	10.01
-1.593	0.0967	135.41	56.1	77	62	820000	1319000	250	10.01
-1.583	0.1055	126.04	56.1	77	62	820000	1319000	250	10.01
-1.573	0.0941	117.21	56.1	77	62	820000	1319000	250	10.01
-1.563	0.0864	108.93	56.1	77	62	820000	1319000	250	10.01
-1.553	0.0813	101.19	56.1	77	62	820000	1319000	250	10.01
-1.543	0.0764	93.96	56.1	77	62	820000	1319000	250	10.01
-1.533	0.0724	87.26	56.1	77	62	820000	1319000	250	10.01
-1.523	0.07	81.07	56.1	77	62	820000	1319000	250	10.01
-1.513	0.0677	75.41	56.1	77	62	820000	1319000	250	10.01
-1.503	0.0668	70.27	56.1	77	62	820000	1319000	250	10.01
-1.493	0.0646	65.68	56.1	77	62	820000	1319000	250	10.01
-1.483	0.0625	61.63	56.1	77	62	820000	1319000	250	10.01
-1.473	0.0597	58.17	56.1	77	62	820000	1319000	250	10.01
-1.463	0.0588	55.33	56.1	77	62	820000	1319000	250	10.01
-1.453	0.0577	53.16	56.1	77	62	820000	1319000	250	10.01
-1.443	0.0557	51.71	56.1	77	62	820000	1319000	250	10.01
-1.433	0.0549	51.02	56.1	77	62	820000	1319000	250	10.01
-1.423	0.0537	51.02	56.1	77	62	820000	1319000	250	10.01
-1.413	0.0524	51.13	56.1	77	62	820000	1319000	250	10.01
-1.403	0.0514	50.48	56.1	77	62	820000	1319000	250	10.01
-1.393	0.05	49.71	56.1	77	62	820000	1319000	250	10.01
-1.383	0.0484	48.9	56.1	77	62	820000	1319000	250	10.01
-1.373	0.0489	48.1	56.1	77	62	820000	1319000	250	10.01
-1.363	0.0484	47.33	56.1	77	62	820000	1319000	250	10.01
-1.353	0.047	46.59	56.1	77	62	820000	1319000	250	10.01
-1.343	0.0463	45.89	56.1	77	62	820000	1319000	250	10.01
-1.333	0.0454	45.25	56.1	77	62	820000	1319000	250	10.01
-1.323	0.0451	44.66	56.1	77	62	820000	1319000	250	10.01
-1.313	0.0439	44.13	56.1	77	62	820000	1319000	250	10.01
-1.303	0.0438	43.67	56.1	77	62	820000	1319000	250	10.01
-1.293	0.0434	43.27	56.1	77	62	820000	1319000	250	10.01
-1.283	0.042	42.92	56.1	77	62	820000	1319000	250	10.01
-1.273	0.0418	42.63	56.1	77	62	820000	1319000	250	10.01
-1.263	0.0408	42.38	56.1	77	62	820000	1319000	250	10.01
-1.253	0.0419	42.19	56.1	77	62	820000	1319000	250	10.01
-1.242	0.0406	42.04	56.1	77	62	820000	1319000	250	10.01
-1.232	0.0427	41.93	56.1	77	62	820000	1319000	250	10.01
-1.222	0.0422	41.85	56.1	77	62	820000	1319000	250	10.01
-1.212	0.0427	41.81	56.1	77	62	820000	1319000	250	10.01
-1.202	0.0421	41.8	56.1	77	62	820000	1319000	250	10.01
-1.192	0.0421	41.81	56.1	77	62	820000	1319000	250	10.01
-1.182	0.0417	41.84	56.1	77	62	820000	1319000	250	10.01
-1.172	0.0419	41.89	56.1	77	62	820000	1319000	250	10.01
-1.162	0.0435	41.95	56.1	77	62	820000	1319000	250	10.01
-1.152	0.0415	42	56.1	77	62	820000	1319000	250	10.01
-1.142	0.0417	42.05	56.1	77	62	820000	1319000	250	10.01
-1.132	0.0433	42.09	56.1	77	62	820000	1319000	250	10.01
-1.122	0.0424	42.12	56.1	77	62	820000	1319000	250	10.01
-1.112	0.0419	42.13	56.1	77	62	820000	1319000	250	10.01
-1.102	0.0411	42.13	56.1	77	62	820000	1319000	250	10.01
-1.092	0.0424	42.11	56.1	77	62	820000	1319000	250	10.01
-1.082	0.0422	42.09	56.1	77	62	820000	1319000	250	10.01
-1.072	0.0424	42.06	56.1	77	62	820000	1319000	250	10.01
-1.062	0.0423	42.03	56.1	77	62	820000	1319000	250	10.01
-1.052	0.0409	42	56.1	77	62	820000	1319000	250	10.01
-1.042	0.0426	41.97	56.1	77	62	820000	1319000	250	10.01
-1.032	0.0417	41.94	56.1	77	62	820000	1319000	250	10.01
-1.022	0.0425	41.9	56.1	77	62	820000	1319000	250	10.01
-1.012	0.0418	41.86	56.1	77	62	820000	1319000	250	10.01
-1.002	0.0411	41.81	56.1	77	62	820000	1319000	250	10.01
