x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-1.25	0.1786	157.36	72.6	77	62	730000	1314000	270	10.21
-1.241	0.1632	147.65	72.6	77	62	730000	1314000	270	10.21
-1.233	0.145	138.41	72.6	77	62	730000	1314000	270	10.21
-1.224	0.14	129.63	72.6	77	62	730000	1314000	270	10.21
-1.216	0.1477	121.3	72.6	77	62	730000	1314000	270	10.21
-1.207	0.0792	113.42	72.6	77	62	730000	1314000	270	10.21
-1.199	0.0858	105.97	72.6	77	62	730000	1314000	270	10.21
-1.19	0.0802	98.94	72.6	77	62	730000	1314000	270	10.21
-1.182	0.0758	92.33	72.6	77	62	730000	1314000	270	10.21
-1.173	0.0725	86.12	72.6	77	62	730000	1314000	270	10.21
-1.164	0.0684	80.32	72.6	77	62	730000	1314000	270	10.21
-1.156	0.0644	74.92	72.6	77	62	730000	1314000	270	10.21
-1.147	0.0622	69.92	72.6	77	62	730000	1314000	270	10.21
-1.139	0.0599	65.31	72.6	77	62	730000	1314000	270	10.21
-1.13	0.0567	61.11	72.6	77	62	730000	1314000	270	10.21
-1.122	0.0547	57.31	72.6	77	62	730000	1314000	270	10.21
-1.113	0.054	53.94	72.6	77	62	730000	1314000	270	10.21
-1.104	0.0521	51	72.6	77	62	730000	1314000	270	10.21
-1.096	0.0512	48.53	72.6	77	62	730000	1314000	270	10.21
-1.087	0.0495	46.56	72.6	77	62	730000	1314000	270	10.21
-1.079	0.0481	45.13	72.6	77	62	730000	1314000	270	10.21
-1.07	0.047	44.28	72.6	77	62	730000	1314000	270	10.21
-1.062	0.0461	43.96	72.6	77	62	730000	1314000	270	10.21
-1.053	0.0449	43.82	72.6	77	62	730000	1314000	270	10.21
-1.045	0.0443	43.2	72.6	77	62	730000	1314000	270	10.21
-1.036	0.0419	42.52	72.6	77	62	730000	1314000	270	10.21
-1.027	0.043	41.8	72.6	77	62	730000	1314000	270	10.21
-1.019	0.0417	41.07	72.6	77	62	730000	1314000	270	10.21
-1.01	0.0408	40.39	72.6	77	62	730000	1314000	270	10.21
-1.002	0.0401	39.75	72.6	77	62	730000	1314000	270	10.21
-0.993	0.0389	39.16	72.6	77	62	730000	1314000	270	10.21
-0.985	0.0392	38.61	72.6	77	62	730000	1314000	270	10.21
-0.976	0.0381	38.1	72.6	77	62	730000	1314000	270	10.21
-0.967	0.038	37.65	72.6	77	62	730000	1314000	270	10.21
-0.959	0.0373	37.24	72.6	77	62	730000	1314000	270	10.21
-0.95	0.0364	36.89	72.6	77	62	730000	1314000	270	10.21
-0.942	0.0365	36.59	72.6	77	62	730000	1314000	270	10.21
-0.933	0.0359	36.35	72.6	77	62	730000	1314000	270	10.21
-0.925	0.0353	36.16	72.6	77	62	730000	1314000	270	10.21
-0.916	0.0355	36.02	72.6	77	62	730000	1314000	270	10.21
-0.908	0.0349	35.92	72.6	77	62	730000	1314000	270	10.21
-0.899	0.0365	35.86	72.6	77	62	730000	1314000	270	10.21
-0.89	0.0359	35.84	72.6	77	62	730000	1314000	270	10.21
-0.882	0.0359	35.85	72.6	77	62	730000	1314000	270	10.21
-0.873	0.036	35.89	72.6	77	62	730000	1314000	270	10.21
-0.865	0.0359	35.95	72.6	77	62	730000	1314000	270	10.21
-0.856	0.0373	36.03	72.6	77	62	730000	1314000	270	10.21
-0.848	0.0357	36.12	72.6	77	62	730000	1314000	270	10.21
-0.839	0.0363	36.21	72.6	77	62	730000	1314000	270	10.21
-0.83	0.0354	36.29	72.6	77	62	730000	1314000	270	10.21
-0.822	0.0371	36.37	72.6	77	62	730000	1314000	270	10.21
-0.813	0.0374	36.43	72.6	77	62	730000	1314000	270	10.21
-0.805	0.0368	36.48	72.6	77	62	730000	1314000	270	10.21
-0.796	0.037	36.51	72.6	77	62	730000	1314000	270	10.21
-0.788	0.0365	36.53	72.6	77	62	730000	1314000	270	10.21
-0.779	0.0368	36.52	72.6	77	62	730000	1314000	270	10.21
-0.771	0.0369	36.49	72.6	77	62	730000	1314000	270	10.21
-0.762	0.0359	36.45	72.6	77	62	730000	1314000	270	10.21
-0.753	0.0363	36.39	72.6	77	62	730000	1314000	270	10.21
-0.745	0.037	36.33	72.6	77	62	730000	1314000	270	10.21
