x	qy	smooth	tpara	cd	zL	xTr	xCpl	frame	tma
-3.295	0.5617	505.7	13	87	78	1084000	1413000	250	10.1
-3.28	0.3492	478.47	13	87	78	1084000	1413000	250	10.1
-3.264	0.5979	452.17	13	87	78	1084000	1413000	250	10.1
-3.249	0.4121	426.81	13	87	78	1084000	1413000	250	10.1
-3.234	0.3487	402.39	13	87	78	1084000	1413000	250	10.1
-3.219	0.3774	378.88	13	87	78	1084000	1413000	250	10.1
-3.204	0.3443	356.3	13	87	78	1084000	1413000	250	10.1
-3.188	0.3412	334.64	13	87	78	1084000	1413000	250	10.1
-3.173	0.312	313.89	13	87	78	1084000	1413000	250	10.1
-3.158	0.2936	294.07	13	87	78	1084000	1413000	250	10.1
-3.143	0.2723	275.15	13	87	78	1084000	1413000	250	10.1
-3.128	0.2522	257.15	13	87	78	1084000	1413000	250	10.1
-3.112	0.2329	240.06	13	87	78	1084000	1413000	250	10.1
-3.097	0.2187	223.88	13	87	78	1084000	1413000	250	10.1
-3.082	0.2039	208.62	13	87	78	1084000	1413000	250	10.1
-3.067	0.1956	194.28	13	87	78	1084000	1413000	250	10.1
-3.052	0.1841	180.86	13	87	78	1084000	1413000	250	10.1
-3.036	0.1716	168.37	13	87	78	1084000	1413000	250	10.1
-3.021	0.1565	156.82	13	87	78	1084000	1413000	250	10.1
-3.006	0.1471	146.22	13	87	78	1084000	1413000	250	10.1
-2.991	0.1396	136.58	13	87	78	1084000	1413000	250	10.1
-2.976	0.1299	127.9	13	87	78	1084000	1413000	250	10.1
-2.96	0.1208	120.16	13	87	78	1084000	1413000	250	10.1
-2.945	0.1115	113.23	13	87	78	1084000	1413000	250	10.1
-2.93	0.1031	107.2	13	87	78	1084000	1413000	250	10.1
-2.915	0.0968	101.94	13	87	78	1084000	1413000	250	10.1
-2.9	0.0933	97.52	13	87	78	1084000	1413000	250	10.1
-2.884	0.0889	93.94	13	87	78	1084000	1413000	250	10.1
-2.869	0.0876	91.14	13	87	78	1084000	1413000	250	10.1
-2.854	0.0877	89.06	13	87	78	1084000	1413000	250	10.1
-2.839	0.0869	87.65	13	87	78	1084000	1413000	250	10.1
-2.824	0.0839	86.88	13	87	78	1084000	1413000	250	10.1
-2.809	0.0872	86.7	13	87	78	1084000	1413000	250	10.1
-2.793	0.0879	87.05	13	87	78	1084000	1413000	250	10.1
-2.778	0.0874	87.87	13	87	78	1084000	1413000	250	10.1
-2.763	0.0906	89.08	13	87	78	1084000	1413000	250	10.1
-2.748	0.091	90.59	13	87	78	1084000	1413000	250	10.1
-2.733	0.0922	92.31	13	87	78	1084000	1413000	250	10.1
-2.717	0.0954	94.15	13	87	78	1084000	1413000	250	10.1
-2.702	0.0975	96.05	13	87	78	1084000	1413000	250	10.1
-2.687	0.1003	97.94	13	87	78	1084000	1413000	250	10.1
-2.672	0.1027	99.75	13	87	78	1084000	1413000	250	10.1
-2.657	0.1039	101.46	13	87	78	1084000	1413000	250	10.1
-2.641	0.1074	103	13	87	78	1084000	1413000	250	10.1
-2.626	0.107	104.38	13	87	78	1084000	1413000	250	10.1
-2.611	0.1102	105.56	13	87	78	1084000	1413000	250	10.1
-2.596	0.1083	106.56	13	87	78	1084000	1413000	250	10.1
-2.581	0.1106	107.37	13	87	78	1084000	1413000	250	10.1
-2.565	0.1104	107.99	13	87	78	1084000	1413000	250	10.1
-2.55	0.1074	108.43	13	87	78	1084000	1413000	250	10.1
-2.535	0.1101	108.71	13	87	78	1084000	1413000	250	10.1
-2.52	0.1042	108.82	13	87	78	1084000	1413000	250	10.1
-2.505	0.1085	108.77	13	87	78	1084000	1413000	250	10.1
-2.489	0.1069	108.59	13	87	78	1084000	1413000	250	10.1
-2.474	0.1083	108.28	13	87	78	1084000	1413000	250	10.1
-2.459	0.1073	107.88	13	87	78	1084000	1413000	250	10.1
-2.444	0.10780000000000001	107.41	13	87	78	1084000	1413000	250	10.1
-2.429	0.107	106.88	13	87	78	1084000	1413000	250	10.1
-2.413	0.105	106.31	13	87	78	1084000	1413000	250	10.1
-2.398	0.1058	105.72	13	87	78	1084000	1413000	250	10.1
-2.383	0.1063	105.12	13	87	78	1084000	1413000	250	10.1
-2.368	0.1025	104.52	13	87	78	1084000	1413000	250	10.1
-2.353	0.1066	103.93	13	87	78	1084000	1413000	250	10.1
-2.337	0.102	103.35	13	87	78	1084000	1413000	250	10.1
-2.322	0.1027	102.77	13	87	78	1084000	1413000	250	10.1
-2.307	0.1041	102.21	13	87	78	1084000	1413000	250	10.1
-2.292	0.102	101.65	13	87	78	1084000	1413000	250	10.1
-2.277	0.0999	101.09	13	87	78	1084000	1413000	250	10.1
-2.261	0.101	100.52	13	87	78	1084000	1413000	250	10.1
-2.246	0.0994	99.94	13	87	78	1084000	1413000	250	10.1
-2.231	0.0967	99.36	13	87	78	1084000	1413000	250	10.1
-2.216	0.0975	98.78	13	87	78	1084000	1413000	250	10.1
-2.201	0.0981	98.22	13	87	78	1084000	1413000	250	10.1
-2.185	0.0996	97.66	13	87	78	1084000	1413000	250	10.1
-2.17	0.0975	97.13	13	87	78	1084000	1413000	250	10.1
-2.155	0.0947	96.61	13	87	78	1084000	1413000	250	10.1
-2.14	0.0955	96.1	13	87	78	1084000	1413000	250	10.1
-2.125	0.0964	95.62	13	87	78	1084000	1413000	250	10.1
-2.109	0.0958	95.14	13	87	78	1084000	1413000	250	10.1
-2.094	0.0958	94.67	13	87	78	1084000	1413000	250	10.1
-2.079	0.095	94.21	13	87	78	1084000	1413000	250	10.1
-2.064	0.0947	93.76	13	87	78	1084000	1413000	250	10.1
-2.049	0.0924	93.29	13	87	78	1084000	1413000	250	10.1
