time	depth	model	type	z1100
1.62	37	cda	1	46
2.11	39	cda	1	46
2.58	40.5	cda	1	46
3.06	43	cda	1	46
3.58	47	cda	1	46
4.08	49.5	cda	1	46
4.52	50	cda	1	46
4.94	52	cda	1	46
5.33	54	cda	1	46
5.72	57.5	cda	1	46
6.16	59.5	cda	1	46
6.61	65	cda	1	46
6.95	67	cda	1	46
7.28	66.5	cda	1	46
7.65	65	cda	1	46
8.08	64	cda	1	46
8.47	65.5	cda	1	46
8.98	66	cda	1	46
9.36	68.5	cda	1	46
9.8	70.5	cda	1	46
10.29	71	cda	1	46
10.76	72.5	cda	1	46
11.24	76.5	cda	1	46
11.71	76	cda	1	46
12.21	77	cda	1	46
12.75	77.5	cda	1	46
13.33	79.5	cda	1	46
13.91	79	cda	1	46
14.56	83.5	cda	1	46
15.25	81	cda	1	46
1.36	36	cdf	2	46
1.74	36	cdf	2	46
2.13	37.5	cdf	2	46
2.51	45	cdf	2	46
2.94	50.5	cdf	2	46
3.37	58	cdf	2	46
3.8	59.5	cdf	2	46
4.16	62	cdf	2	46
4.47	58.5	cdf	2	46
4.82	56.5	cdf	2	46
5.18	57	cdf	2	46
5.64	58.5	cdf	2	46
6.19	58	cdf	2	46
6.74	66.5	cdf	2	46
7.33	73.5	cdf	2	46
7.91	70.5	cdf	2	46
8.48	71	cdf	2	46
9.07	73	cdf	2	46
9.65	75	cdf	2	46
10.25	78.5	cdf	2	46
10.84	81	cdf	2	46
11.43	83.5	cdf	2	46
12.02	85	cdf	2	46
12.6	87	cdf	2	46
13.16	91.5	cdf	2	46
13.72	92	cdf	2	46
14.26	93	cdf	2	46
14.82	95	cdf	2	46
15.36	96.5	cdf	2	46
15.84	97	cdf	2	46
16.32	98.5	cdf	2	46
1.24	36.5	cdp	3	46
1.56	39.5	cdp	3	46
1.88	41.5	cdp	3	46
2.94	45.5	cdp	3	46
3.29	51.5	cdp	3	46
3.62	58.5	cdp	3	46
3.91	65	cdp	3	46
4.16	65.5	cdp	3	46
4.49	63	cdp	3	46
4.89	62	cdp	3	46
5.29	61	cdp	3	46
5.7	64.5	cdp	3	46
6.1	64.5	cdp	3	46
6.5	66	cdp	3	46
6.91	64	cdp	3	46
7.31	61.5	cdp	3	46
7.71	61	cdp	3	46
8.11	63.5	cdp	3	46
8.5	65	cdp	3	46
8.88	67.5	cdp	3	46
9.24	73.5	cdp	3	46
9.6	73.5	cdp	3	46
9.94	76.5	cdp	3	46
1.79	37	cda	1	62
2.27	40.5	cda	1	62
2.73	40	cda	1	62
3.21	43	cda	1	62
3.66	44.5	cda	1	62
4.07	48.5	cda	1	62
4.5	52.5	cda	1	62
4.89	54.5	cda	1	62
5.29	60.5	cda	1	62
5.72	63	cda	1	62
6.16	67	cda	1	62
6.55	74	cda	1	62
6.92	78.5	cda	1	62
7.27	83	cda	1	62
7.65	85	cda	1	62
8.04	89	cda	1	62
8.43	89	cda	1	62
8.85	90	cda	1	62
9.29	88	cda	1	62
9.7	90.5	cda	1	62
10.12	86.5	cda	1	62
10.58	88	cda	1	62
11.01	84.5	cda	1	62
11.42	85.5	cda	1	62
11.82	83	cda	1	62
12.28	85.5	cda	1	62
12.73	85.5	cda	1	62
13.24	84.5	cda	1	62
13.68	86.5	cda	1	62
14.14	85	cda	1	62
14.6	84.5	cda	1	62
15.09	85	cda	1	62
1.09	34	cdf	2	62
1.51	38	cdf	2	62
1.94	41.5	cdf	2	62
2.35	46.5	cdf	2	62
2.76	49	cdf	2	62
3.17	52.5	cdf	2	62
3.62	58	cdf	2	62
4.02	62.5	cdf	2	62
4.42	74	cdf	2	62
4.85	85	cdf	2	62
5.24	95.5	cdf	2	62
5.64	82.5	cdf	2	62
6.01	83.5	cdf	2	62
6.42	83.5	cdf	2	62
6.87	82.5	cdf	2	62
7.28	83.5	cdf	2	62
7.73	85.5	cdf	2	62
8.18	84.5	cdf	2	62
8.62	84.5	cdf	2	62
9.12	86	cdf	2	62
9.66	85.5	cdf	2	62
10.23	84.5	cdf	2	62
10.84	81	cdf	2	62
11.42	83	cdf	2	62
12.01	81.5	cdf	2	62
12.6	83.5	cdf	2	62
13.18	82	cdf	2	62
13.77	82	cdf	2	62
14.33	83	cdf	2	62
14.88	83	cdf	2	62
15.46	83	cdf	2	62
0.9	35	cdp	3	62
1.27	38.5	cdp	3	62
1.61	39	cdp	3	62
1.96	36.5	cdp	3	62
2.34	41.5	cdp	3	62
2.7	45	cdp	3	62
3.03	50.5	cdp	3	62
3.37	55.5	cdp	3	62
3.72	58.5	cdp	3	62
4.1	64	cdp	3	62
4.46	72.5	cdp	3	62
4.83	73	cdp	3	62
5.22	81	cdp	3	62
5.62	88	cdp	3	62
6.03	80.5	cdp	3	62
6.43	83.5	cdp	3	62
6.82	80	cdp	3	62
7.21	80.5	cdp	3	62
7.59	76	cdp	3	62
7.96	77.5	cdp	3	62
8.34	77	cdp	3	62
8.73	79	cdp	3	62
9.13	79.5	cdp	3	62
9.52	81	cdp	3	62
9.85	85	cdp	3	62
10.18	86	cdp	3	62
1.34	34.5	cda	1	78
1.89	39	cda	1	78
2.38	46	cda	1	78
2.85	50.5	cda	1	78
3.28	54	cda	1	78
3.73	60.5	cda	1	78
4.15	61	cda	1	78
4.51	65	cda	1	78
4.92	69.5	cda	1	78
5.32	72	cda	1	78
5.69	75.5	cda	1	78
6.08	77.5	cda	1	78
6.48	75	cda	1	78
6.87	82	cda	1	78
7.31	90.5	cda	1	78
7.7	100.5	cda	1	78
8.11	103	cda	1	78
8.52	97.5	cda	1	78
8.9	95.5	cda	1	78
9.27	93	cda	1	78
9.66	95	cda	1	78
10.1	92.5	cda	1	78
10.51	91.5	cda	1	78
10.94	92.5	cda	1	78
11.41	93.5	cda	1	78
11.87	95.5	cda	1	78
12.31	95	cda	1	78
12.76	97	cda	1	78
13.21	100	cda	1	78
13.68	99	cda	1	78
14.14	97	cda	1	78
14.62	96.5	cda	1	78
15.09	97	cda	1	78
0.64	31	cdf	2	78
1.14	38.5	cdf	2	78
1.64	45	cdf	2	78
2.14	51.5	cdf	2	78
2.63	57	cdf	2	78
3.06	64.5	cdf	2	78
3.44	68.5	cdf	2	78
3.82	72.5	cdf	2	78
4.2	81.5	cdf	2	78
4.63	89	cdf	2	78
5.05	91.5	cdf	2	78
5.45	99.5	cdf	2	78
5.85	101.5	cdf	2	78
6.22	97.5	cdf	2	78
6.63	98.5	cdf	2	78
7.03	97	cdf	2	78
7.4	97.5	cdf	2	78
7.77	97	cdf	2	78
8.2	97.5	cdf	2	78
8.65	94.5	cdf	2	78
9.06	94.5	cdf	2	78
9.44	94.5	cdf	2	78
9.93	97	cdf	2	78
10.44	96.5	cdf	2	78
10.96	95	cdf	2	78
11.49	91	cdf	2	78
12.08	92.5	cdf	2	78
12.66	95	cdf	2	78
13.27	92.5	cdf	2	78
13.85	95.5	cdf	2	78
14.42	93	cdf	2	78
15.02	93.5	cdf	2	78
0.51	31	cdp	3	78
0.89	39	cdp	3	78
1.26	45	cdp	3	78
1.63	48.5	cdp	3	78
2	51	cdp	3	78
2.38	57	cdp	3	78
2.74	65.5	cdp	3	78
3.09	72.5	cdp	3	78
3.44	76.5	cdp	3	78
3.77	84.5	cdp	3	78
4.11	90	cdp	3	78
4.44	98	cdp	3	78
4.79	96	cdp	3	78
5.14	96	cdp	3	78
5.5	97	cdp	3	78
5.89	88	cdp	3	78
6.29	85.5	cdp	3	78
6.69	84	cdp	3	78
7.08	84.5	cdp	3	78
7.46	84	cdp	3	78
7.84	86	cdp	3	78
8.22	84.5	cdp	3	78
8.6	82.5	cdp	3	78
8.99	79.5	cdp	3	78
9.39	79.5	cdp	3	78
9.77	84.5	cdp	3	78
10.16	73.5	cdp	3	78
0.82	32	cda	1	94
1.41	38	cda	1	94
1.98	47	cda	1	94
2.49	53.5	cda	1	94
2.94	58.5	cda	1	94
3.39	63	cda	1	94
3.82	67	cda	1	94
4.27	70.5	cda	1	94
4.72	73.5	cda	1	94
5.17	79	cda	1	94
5.56	78	cda	1	94
5.96	82	cda	1	94
6.35	86	cda	1	94
6.76	89.5	cda	1	94
7.12	91	cda	1	94
7.46	92.5	cda	1	94
7.86	92.5	cda	1	94
8.27	95.5	cda	1	94
8.67	97	cda	1	94
9.06	100	cda	1	94
9.47	102.5	cda	1	94
9.86	102	cda	1	94
10.21	102.5	cda	1	94
10.55	102	cda	1	94
10.92	102.5	cda	1	94
11.34	103.5	cda	1	94
11.7	102.5	cda	1	94
12.09	103.5	cda	1	94
12.56	104	cda	1	94
13.02	104.5	cda	1	94
13.4	104.5	cda	1	94
13.78	104.5	cda	1	94
14.2	104.5	cda	1	94
14.6	105	cda	1	94
15.03	105.5	cda	1	94
0.67	34.5	cdf	2	94
1.18	46	cdf	2	94
1.73	58	cdf	2	94
2.21	64.5	cdf	2	94
2.66	70	cdf	2	94
3.05	76.5	cdf	2	94
3.43	83	cdf	2	94
3.82	86.5	cdf	2	94
4.23	90	cdf	2	94
4.61	95.5	cdf	2	94
4.96	100	cdf	2	94
5.33	99	cdf	2	94
5.72	101.5	cdf	2	94
6.08	102.5	cdf	2	94
6.41	101	cdf	2	94
6.77	103.5	cdf	2	94
7.13	102.5	cdf	2	94
7.5	106.5	cdf	2	94
7.91	106.5	cdf	2	94
8.32	106	cdf	2	94
8.71	107	cdf	2	94
9.08	105.5	cdf	2	94
9.46	104.5	cdf	2	94
9.89	106	cdf	2	94
10.32	109.5	cdf	2	94
10.8	109.5	cdf	2	94
11.35	109.5	cdf	2	94
11.83	109.5	cdf	2	94
12.36	112	cdf	2	94
12.94	112.5	cdf	2	94
13.56	113.5	cdf	2	94
14.18	113	cdf	2	94
14.79	114	cdf	2	94
15.41	114	cdf	2	94
0.52	34.5	cdp	3	94
0.88	37	cdp	3	94
1.25	51.5	cdp	3	94
1.62	61	cdp	3	94
1.99	68.5	cdp	3	94
2.36	71.5	cdp	3	94
2.71	79.5	cdp	3	94
3.04	83	cdp	3	94
3.35	89.5	cdp	3	94
3.67	97	cdp	3	94
4.02	99	cdp	3	94
4.37	104	cdp	3	94
4.74	104.5	cdp	3	94
5.1	105	cdp	3	94
5.46	105	cdp	3	94
5.83	101.5	cdp	3	94
6.19	103	cdp	3	94
6.58	101	cdp	3	94
6.98	100	cdp	3	94
7.37	100	cdp	3	94
7.75	99.5	cdp	3	94
8.12	98	cdp	3	94
8.49	101.5	cdp	3	94
8.85	104	cdp	3	94
9.21	102.5	cdp	3	94
9.57	104	cdp	3	94
9.94	107.5	cdp	3	94
10.34	111	cdp	3	94
