"","Depth","X60km","X80km","X100km","X120km"
"1",0,0,0,0,0
"2",0.1,3.43,3.02,2.76,2.58
"3",0.2,6.86,6.03,5.51,5.15
"4",0.3,10.28,9.05,8.26,7.72
"5",0.4,13.7,12.05,11.01,10.29
"6",0.5,17.12,15.05,13.75,12.85
"7",0.6,20.53,18.05,16.49,15.4
"8",0.7,23.94,21.05,19.22,17.96
"9",0.8,27.34,24.03,21.95,20.5
"10",0.9,30.74,27.02,24.67,23.05
"11",1,34.13,30,27.39,25.59
"12",1.1,37.52,32.98,30.11,28.12
"13",1.2,40.9,35.95,32.82,30.65
"14",1.3,44.28,38.92,35.52,33.18
"15",1.4,47.66,41.88,38.23,35.7
"16",1.5,51.03,44.84,40.92,38.22
"17",1.6,54.4,47.79,43.62,40.73
"18",1.7,57.76,50.74,46.31,43.24
"19",1.8,61.12,53.69,48.99,45.74
"20",1.9,64.48,56.63,51.67,48.24
"21",2,67.83,59.57,54.35,50.74
"22",2.1,71.17,62.5,57.02,53.23
"23",2.2,74.51,65.43,59.69,55.72
"24",2.3,77.85,68.35,62.35,58.2
"25",2.4,81.18,71.27,65.01,60.68
"26",2.5,84.51,74.18,67.66,63.15
"27",2.6,87.83,77.1,70.31,65.62
"28",2.7,91.15,80,72.96,68.09
"29",2.8,94.47,82.9,75.6,70.55
"30",2.9,97.78,85.8,78.24,73
"31",3,101.09,88.7,80.87,75.46
"32",3.1,104.39,91.58,83.5,77.9
"33",3.2,107.69,94.47,86.12,80.35
"34",3.3,110.98,97.35,88.74,82.79
"35",3.4,114.27,100.23,91.36,85.22
"36",3.5,117.55,103.1,93.97,87.65
"37",3.6,120.83,105.97,96.57,90.08
"38",3.7,124.11,108.83,99.18,92.5
"39",3.8,127.38,111.69,101.77,94.92
"40",3.9,130.65,114.54,104.37,97.33
"41",4,133.91,117.39,106.96,99.74
"42",4.1,137.17,120.24,109.54,102.14
"43",4.2,140.43,123.08,112.12,104.54
"44",4.3,143.68,125.92,114.7,106.94
"45",4.4,146.92,128.75,117.27,109.33
"46",4.5,150.16,131.58,119.84,111.72
"47",4.6,153.4,134.4,122.4,114.1
"48",4.7,156.63,137.22,124.96,116.48
"49",4.8,159.86,140.03,127.51,118.85
"50",4.9,163.08,142.85,130.06,121.22
"51",5,166.3,145.65,132.61,123.59
"52",5.1,169.52,148.45,135.15,125.95
"53",5.2,172.73,151.25,137.69,128.3
"54",5.3,175.94,154.05,140.22,130.66
"55",5.4,179.14,156.83,142.75,133
"56",5.5,182.34,159.62,145.27,135.35
"57",5.6,185.53,162.4,147.79,137.69
"58",5.7,188.72,165.18,150.31,140.02
"59",5.8,191.9,167.95,152.82,142.35
"60",5.9,195.08,170.72,155.32,144.68
"61",6,198.26,173.48,157.83,147
"62",6.1,201.43,176.24,160.32,149.32
"63",6.2,204.6,178.99,162.82,151.63
"64",6.3,207.76,181.74,165.31,153.94
"65",6.4,210.92,184.49,167.79,156.24
"66",6.5,214.08,187.23,170.27,158.54
"67",6.6,217.23,189.97,172.75,160.84
"68",6.7,220.37,192.7,175.22,163.13
"69",6.8,223.51,195.43,177.69,165.42
"70",6.9,226.65,198.15,180.15,167.7
"71",7,229.78,200.87,182.61,169.98
"72",7.1,232.91,203.58,185.06,172.25
"73",7.2,236.03,206.3,187.51,174.52
"74",7.3,239.15,209,189.96,176.79
"75",7.4,242.27,211.7,192.4,179.05
"76",7.5,245.38,214.4,194.84,181.3
"77",7.6,248.49,217.1,197.27,183.56
"78",7.7,251.59,219.78,199.7,185.8
"79",7.8,254.69,222.47,202.12,188.05
"80",7.9,257.78,225.15,204.54,190.29
"81",8,260.87,227.83,206.96,192.52
"82",8.1,263.95,230.5,209.37,194.75
"83",8.2,267.03,233.17,211.77,196.98
"84",8.3,270.11,235.83,214.18,199.2
"85",8.4,273.18,238.49,216.57,201.42
"86",8.5,276.25,241.14,218.97,203.63
"87",8.6,279.31,243.79,221.36,205.84
"88",8.7,282.37,246.44,223.74,208.04
"89",8.8,285.43,249.08,226.12,210.24
"90",8.9,288.48,251.72,228.5,212.44
"91",9,291.52,254.35,230.87,214.63
"92",9.1,294.56,256.98,233.24,216.82
"93",9.2,297.6,259.6,235.6,219
"94",9.3,300.63,262.22,237.96,221.18
"95",9.4,303.66,264.83,240.31,223.35
"96",9.5,306.68,267.45,242.66,225.52
"97",9.6,309.7,270.05,245.01,227.69
"98",9.7,312.72,272.65,247.35,229.85
"99",9.8,315.73,275.25,249.69,232
"100",9.9,318.74,277.85,252.02,234.16
"101",10,321.74,280.43,254.35,236.3
"102",10.1,324.74,283.02,256.67,238.45
"103",10.2,327.73,285.6,258.99,240.59
"104",10.3,330.72,288.18,261.31,242.72
"105",10.4,333.7,290.75,263.62,244.85
"106",10.5,336.68,293.32,265.92,246.98
"107",10.6,339.66,295.88,268.23,249.1
"108",10.7,342.63,298.44,270.52,251.22
"109",10.8,345.6,300.99,272.82,253.33
"110",10.9,348.56,303.54,275.11,255.44
"111",11,351.52,306.09,277.39,257.54
"112",11.1,354.48,308.63,279.67,259.64
"113",11.2,357.43,311.17,281.95,261.74
"114",11.3,360.37,313.7,284.22,263.83
"115",11.4,363.31,316.23,286.49,265.92
"116",11.5,366.25,318.75,288.75,268
"117",11.6,369.18,321.27,291.01,270.08
"118",11.7,372.11,323.78,293.26,272.15
"119",11.8,375.03,326.3,295.51,274.22
"120",11.9,377.95,328.8,297.76,276.29
"121",12,380.87,331.3,300,278.35
"122",12.1,383.78,333.8,302.24,280.4
"123",12.2,386.69,336.3,304.47,282.46
"124",12.3,389.59,338.78,306.7,284.5
"125",12.4,392.49,341.27,308.92,286.55
"126",12.5,395.38,343.75,311.14,288.59
"127",12.6,398.27,346.23,313.36,290.62
"128",12.7,401.15,348.7,315.57,292.65
"129",12.8,404.03,351.17,317.77,294.68
"130",12.9,406.91,353.63,319.98,296.7
"131",13,409.78,356.09,322.17,298.72
"132",13.1,412.65,358.54,324.37,300.73
"133",13.2,415.51,360.99,326.56,302.74
"134",13.3,418.37,363.44,328.74,304.74
"135",13.4,421.23,365.88,330.92,306.74
"136",13.5,424.08,368.32,333.1,308.74
"137",13.6,426.92,370.75,335.27,310.73
"138",13.7,429.76,373.18,337.44,312.72
"139",13.8,432.6,375.6,339.6,314.7
"140",13.9,435.43,378.02,341.76,316.68
"141",14,438.26,380.43,343.91,318.65
"142",14.1,441.08,382.85,346.06,320.62
"143",14.2,443.9,385.25,348.21,322.59
"144",14.3,446.72,387.65,350.35,324.55
"145",14.4,449.53,390.05,352.49,326.5
"146",14.5,452.34,392.45,354.62,328.46
"147",14.6,455.14,394.83,356.75,330.4
"148",14.7,457.94,397.22,358.87,332.35
"149",14.8,460.73,399.6,360.99,334.29
"150",14.9,463.52,401.98,363.11,336.22
"151",15,466.3,404.35,365.22,338.15
"152",15.1,469.08,406.72,367.32,340.08
"153",15.2,471.86,409.08,369.43,342
"154",15.3,474.63,411.44,371.52,343.92
"155",15.4,477.4,413.79,373.62,345.83
"156",15.5,480.16,416.14,375.71,347.74
"157",15.6,482.92,418.49,377.79,349.64
"158",15.7,485.68,420.83,379.87,351.54
"159",15.8,488.43,423.17,381.95,353.44
"160",15.9,491.17,425.5,384.02,355.33
"161",16,493.91,427.83,386.09,357.22
"162",16.1,496.65,430.15,388.15,359.1
"163",16.2,499.38,432.47,390.21,360.98
"164",16.3,502.11,434.78,392.26,362.85
"165",16.4,504.83,437.1,394.31,364.72
"166",16.5,507.55,439.4,396.36,366.59
"167",16.6,510.27,441.7,398.4,368.45
"168",16.7,512.98,444,400.44,370.3
"169",16.8,515.69,446.3,402.47,372.16
"170",16.9,518.39,448.58,404.5,374
"171",17,521.09,450.87,406.52,375.85
"172",17.1,523.78,453.15,408.54,377.69
"173",17.2,526.47,455.43,410.56,379.52
"174",17.3,529.15,457.7,412.57,381.35
"175",17.4,531.83,459.97,414.57,383.18
"176",17.5,534.51,462.23,416.58,385
"177",17.6,537.18,464.49,418.57,386.82
"178",17.7,539.85,466.74,420.57,388.63
"179",17.8,542.51,468.99,422.56,390.44
"180",17.9,545.17,471.24,424.54,392.24
"181",18,547.83,473.48,426.52,394.04
"182",18.1,550.48,475.72,428.5,395.84
"183",18.2,553.12,477.95,430.47,397.63
"184",18.3,555.76,480.18,432.44,399.42
"185",18.4,558.4,482.4,434.4,401.2
"186",18.5,561.03,484.62,436.36,402.98
"187",18.6,563.66,486.83,438.31,404.75
"188",18.7,566.28,489.05,440.26,406.52
"189",18.8,568.9,491.25,442.21,408.29
"190",18.9,571.52,493.45,444.15,410.05
"191",19,574.13,495.65,446.09,411.8
"192",19.1,576.74,497.85,448.02,413.56
"193",19.2,579.34,500.03,449.95,415.3
"194",19.3,581.94,502.22,451.87,417.05
"195",19.4,584.53,504.4,453.79,418.79
"196",19.5,587.12,506.58,455.71,420.52
"197",19.6,589.7,508.75,457.62,422.25
"198",19.7,592.28,510.92,459.52,423.98
"199",19.8,594.86,513.08,461.43,425.7
"200",19.9,597.43,515.24,463.32,427.42
"201",20,600,517.39,465.22,429.13
"202",20.1,602.56,519.54,467.11,430.84
"203",20.2,605.12,521.69,468.99,432.54
"204",20.3,607.68,523.83,470.87,434.24
"205",20.4,610.23,525.97,472.75,435.94
"206",20.5,612.77,528.1,474.62,437.63
"207",20.6,615.31,530.23,476.49,439.32
"208",20.7,617.85,532.35,478.35,441
"209",20.8,620.38,534.47,480.21,442.68
"210",20.9,622.91,536.58,482.06,444.35
"211",21,625.43,538.7,483.91,446.02
"212",21.1,627.95,540.8,485.76,447.69
"213",21.2,630.47,542.9,487.6,449.35
"214",21.3,632.98,545,489.44,451
"215",21.4,635.49,547.1,491.27,452.66
"216",21.5,637.99,549.18,493.1,454.3
"217",21.6,640.49,551.27,494.92,455.95
"218",21.7,642.98,553.35,496.74,457.59
"219",21.8,645.47,555.43,498.56,459.22
"220",21.9,647.95,557.5,500.37,460.85
"221",22,650.43,559.57,502.17,462.48
"222",22.1,652.91,561.63,503.98,464.1
"223",22.2,655.38,563.69,505.77,465.72
"224",22.3,657.85,565.74,507.57,467.33
"225",22.4,660.31,567.79,509.36,468.94
"226",22.5,662.77,569.84,511.14,470.54
"227",22.6,665.23,571.88,512.92,472.14
"228",22.7,667.68,573.92,514.7,473.74
"229",22.8,670.12,575.95,516.47,475.33
"230",22.9,672.56,577.98,518.24,476.92
"231",23,675,580,520,478.5
"232",23.1,677.43,582.02,521.76,480.08
"233",23.2,679.86,584.03,523.51,481.65
"234",23.3,682.28,586.05,525.26,483.22
"235",23.4,684.7,588.05,527.01,484.79
"236",23.5,687.12,590.05,528.75,486.35
"237",23.6,689.53,592.05,530.49,487.9
"238",23.7,691.94,594.05,532.22,489.46
"239",23.8,694.34,596.03,533.95,491
"240",23.9,696.74,598.02,535.67,492.55
"241",24,699.13,600,537.39,494.09
"242",24.1,701.52,601.98,539.11,495.62
"243",24.2,703.9,603.95,540.82,497.15
"244",24.3,706.28,605.92,542.52,498.68
"245",24.4,708.66,607.88,544.23,500.2
"246",24.5,711.03,609.84,545.92,501.72
"247",24.6,713.4,611.79,547.62,503.23
"248",24.7,715.76,613.74,549.31,504.74
"249",24.8,718.12,615.69,550.99,506.24
"250",24.9,720.48,617.63,552.67,507.74
"251",25,722.83,619.57,554.35,509.24
"252",25.1,725.17,621.5,556.02,510.73
"253",25.2,727.51,623.43,557.69,512.22
"254",25.3,729.85,625.35,559.35,513.7
"255",25.4,732.18,627.27,561.01,515.18
"256",25.5,734.51,629.18,562.66,516.65
"257",25.6,736.83,631.1,564.31,518.12
"258",25.7,739.15,633,565.96,519.59
"259",25.8,741.47,634.9,567.6,521.05
"260",25.9,743.78,636.8,569.24,522.5
"261",26,746.09,638.7,570.87,523.96
"262",26.1,748.39,640.58,572.5,525.4
"263",26.2,750.69,642.47,574.12,526.85
"264",26.3,752.98,644.35,575.74,528.29
"265",26.4,755.27,646.23,577.36,529.72
"266",26.5,757.55,648.1,578.97,531.15
"267",26.6,759.83,649.97,580.57,532.58
"268",26.7,762.11,651.83,582.18,534
"269",26.8,764.38,653.69,583.77,535.42
"270",26.9,766.65,655.54,585.37,536.83
"271",27,768.91,657.39,586.96,538.24
"272",27.1,771.17,659.24,588.54,539.64
"273",27.2,773.43,661.08,590.12,541.04
"274",27.3,775.68,662.92,591.7,542.44
"275",27.4,777.92,664.75,593.27,543.83
"276",27.5,780.16,666.58,594.84,545.22
"277",27.6,782.4,668.4,596.4,546.6
"278",27.7,784.63,670.22,597.96,547.98
"279",27.8,786.86,672.03,599.51,549.35
"280",27.9,789.08,673.85,601.06,550.72
"281",28,791.3,675.65,602.61,552.09
"282",28.1,793.52,677.45,604.15,553.45
"283",28.2,795.73,679.25,605.69,554.8
"284",28.3,797.94,681.05,607.22,556.16
"285",28.4,800.14,682.83,608.75,557.5
"286",28.5,802.34,684.62,610.27,558.85
"287",28.6,804.53,686.4,611.79,560.19
"288",28.7,806.72,688.18,613.31,561.52
"289",28.8,808.9,689.95,614.82,562.85
"290",28.9,811.08,691.72,616.32,564.18
"291",29,813.26,693.48,617.83,565.5
"292",29.1,815.43,695.24,619.32,566.82
"293",29.2,817.6,696.99,620.82,568.13
"294",29.3,819.76,698.74,622.31,569.44
"295",29.4,821.92,700.49,623.79,570.74
"296",29.5,824.08,702.23,625.27,572.04
"297",29.6,826.23,703.97,626.75,573.34
"298",29.7,828.37,705.7,628.22,574.63
"299",29.8,830.51,707.43,629.69,575.92
"300",29.9,832.65,709.15,631.15,577.2
"301",30,834.78,710.87,632.61,578.48
"302",30.1,836.91,712.58,634.06,579.75
"303",30.2,839.03,714.3,635.51,581.02
"304",30.3,841.15,716,636.96,582.29
"305",30.4,843.27,717.7,638.4,583.55
"306",30.5,845.38,719.4,639.84,584.8
"307",30.6,847.49,721.1,641.27,586.06
"308",30.7,849.59,722.78,642.7,587.3
